distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
mb,tuned_va,150,0.05,0.0,0.75,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.043766727176324925,-0.11378378100583598,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04302590355332342,-0.11085863752278736,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04302590369131324,-0.10845827956280013,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05684280968442897,-0.17999583491234983,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.043679722496491824,-0.11386643545167743,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04294052207923473,-0.11093974992317163,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04294052221695473,-0.1085393919634407,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05673054437519011,-0.18010248695612674,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04359306307303428,-0.1139487619039621,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.0463763335868609,-0.10767572899092676,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.046376333735424234,-0.10527537102089468,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06124653100681039,-0.17581229965608747,0.0,physical
mb,tuned_va,150,0.05,0.0,0.9,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.047080239617383,-0.11063594418683081,0.0,physical
binomial,fixed,45,0.05,0.0,0.9,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04635977367368,-0.10769146090844861,0.0,physical
uniform,fixed,150,0.05,0.0,0.9,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04635977382219106,-0.10529110293846619,0.0,physical
mb,fixed,150,0.05,0.0,0.9,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.06122477297297479,-0.1758329697882313,0.0,physical
