mode,distribution,T,eps,eta,v_el,nu_tilde,va,z_star_raw,z_star,z_star_max,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
fixed_va,mb,0.05,0.0,0.6,0.02,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.03741732578513633,-0.10671785967969086,0.0,physical
fixed,binomial,0.05,0.0,0.8,0.0,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.044387088945542316,-0.10951577250276043,0.0,physical
fixed,uniform,0.05,0.0,0.8,0.0,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.044394119358453436,-0.10715847467901693,0.0,physical
fixed,mb,0.05,0.0,0.8,0.0,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05864154651842085,-0.17828703492005754,0.0,physical
fixed_va,mb,0.05,0.0,0.8,0.0,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04260216096226629,-0.1017922662614174,0.0,physical
fixed,binomial,0.05,0.0,0.8,0.002,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04435296581432152,-0.10954818947742018,0.0,physical
fixed,uniform,0.05,0.0,0.8,0.002,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04435999090518112,-0.10719089670962564,0.0,physical
fixed,mb,0.05,0.0,0.8,0.002,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05859668577126697,-0.17832965262985373,0.0,physical
fixed_va,mb,0.05,0.0,0.8,0.002,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04256938986773799,-0.10182339880121927,0.0,physical
fixed,binomial,0.05,0.0,0.8,0.005,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.0443018793840983,-0.10959672158613223,0.0,physical
fixed,uniform,0.05,0.0,0.8,0.005,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.0443088965069717,-0.10723943638792457,0.0,physical
fixed,mb,0.05,0.0,0.8,0.005,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05852952321482492,-0.17839345705847368,0.0,physical
