case_id,case_type,pair,x,y,repetition,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash
0,best,V_a,40.0,0.25,5,PS+GS,0.44444733147273097,0.23068427828734284,0.42222496489909445,0.19154068661175155,0.22564108717844544,0.01979028333896352,0.0,6.408923689874859,True,910005,910006,7d7470a893adda1d,090075018a49f7f0
0,best,V_a,40.0,0.25,6,MB-global-opt,0.5233072930594045,0.259909504156016,0.49714192840643434,0.23723242425041835,0.29216787299318964,0.024879459212151327,0.0,4.380495360181545,True,910006,910007,467b023aad0c0bcf,0be6ea4dabd53fca
0,best,V_a,40.0,0.25,6,PS+GS,0.5236642424766069,0.2604338033050683,0.49748103035277647,0.2370472270477082,0.2923348121947365,0.02584961825243146,0.0,6.408923689874859,True,910006,910007,467b023aad0c0bcf,0be6ea4dabd53fca
0,best,V_a,40.0,0.25,7,MB-global-opt,0.42837847706390964,0.22405255709123995,0.40695955321071414,0.1829069961194742,0.17258345106797476,0.024992527053651594,0.0,4.380495360181545,True,910007,910008,e76621cf9933bc9e,1b6a9e7b1148b27d
0,best,V_a,40.0,0.25,7,PS+GS,0.42755198333001393,0.22447463658382905,0.40617438416351326,0.18169974757968413,0.17201339259890855,0.022916547255112843,0.0,6.408923689874859,True,910007,910008,e76621cf9933bc9e,1b6a9e7b1148b27d
0,best,V_a,40.0,0.25,8,MB-global-opt,0.5457531113064049,0.2742944232955782,0.5184654557410846,0.24417103244550648,0.26915848931983694,0.053333056631768426,0.0,4.380495360181545,True,910008,910009,0052276bbd61807d,319f87338bf79d3e
0,best,V_a,40.0,0.25,8,PS+GS,0.5476360984432467,0.27485190534799453,0.5202542935210843,0.24540238817308974,0.2779212376012198,0.05251190412790648,0.0,6.408923689874859,True,910008,910009,0052276bbd61807d,319f87338bf79d3e
0,best,V_a,40.0,0.25,9,MB-global-opt,0.4803482192864859,0.25420254814219834,0.45633080832216155,0.20212826017996322,0.20039822847330752,0.04317876462539278,0.0,4.380495360181545,True,910009,910010,10193392942731a4,65508ac43963bc63
0,best,V_a,40.0,0.25,9,PS+GS,0.48139458565212895,0.2546698792136596,0.45732485636952247,0.2026549771558629,0.20821529008627535,0.05176762150042523,0.0,6.408923689874859,True,910009,910010,10193392942731a4,65508ac43963bc63
1,best,V_a,22.5,0.2,0,MB-global-opt,0.2180442982248234,0.13725035537104668,0.20714208331358222,0.06989172794253554,0.07170927428615637,0.0008493194514099689,0.0,4.380495360181545,True,920000,920001,3b1477ae33289887,71ec6b45ac6ea1df
1,best,V_a,22.5,0.2,0,PS+GS,0.21881931753635075,0.13743391431603258,0.2078783516595332,0.07044443734350063,0.0736679029813516,0.000790290370291413,0.0,6.408923689874859,True,920000,920001,3b1477ae33289887,71ec6b45ac6ea1df
1,best,V_a,22.5,0.2,1,MB-global-opt,0.3202977643835562,0.19422780352315755,0.3042828761643784,0.11005507264122084,0.11437301718913473,0.03985152161505383,0.0,4.380495360181545,True,920001,920002,f9f357b963660897,f07085fe87d75f51
1,best,V_a,22.5,0.2,1,PS+GS,0.31923038552833566,0.19449893089372444,0.30326886625191884,0.10876993535819443,0.11539132727185972,0.04141604063743973,0.0,6.408923689874859,True,920001,920002,f9f357b963660897,f07085fe87d75f51
1,best,V_a,22.5,0.2,2,MB-global-opt,0.2562614297227479,0.1567152937523966,0.24344835823661054,0.08673306448421392,0.08845999936909124,0.019061216112443942,0.0,4.380495360181545,True,920002,920003,b80e1908b7b759c8,81fbf830babae7a7
1,best,V_a,22.5,0.2,2,PS+GS,0.25393755936927337,0.156927153550171,0.24124068140080968,0.0843135278506387,0.08818830882113293,0.020135879148902698,0.0,6.408923689874859,True,920002,920003,b80e1908b7b759c8,81fbf830babae7a7
1,best,V_a,22.5,0.2,3,MB-global-opt,0.2305648255113657,0.1437763596354538,0.21903658423579742,0.07526022460034362,0.06841081404875521,0.012253296184389282,0.0,4.380495360181545,True,920003,920004,5d0211f93b7c403c,9ad594c0df072872
1,best,V_a,22.5,0.2,3,PS+GS,0.23040423730549003,0.14397083693195808,0.2188840254402155,0.07491318850825744,0.06323278944103593,0.013682401797301506,0.0,6.408923689874859,True,920003,920004,5d0211f93b7c403c,9ad594c0df072872
1,best,V_a,22.5,0.2,4,MB-global-opt,0.31255278638927164,0.18196712675035764,0.2969251470698081,0.11495802031945043,0.13720567712980772,0.007386131240363289,0.0,4.380495360181545,True,920004,920005,8d3c0d4514b3c83f,502b09414ed09ee8
1,best,V_a,22.5,0.2,4,PS+GS,0.31075927555201827,0.1822369131068952,0.29522131177441735,0.11298439866752215,0.13340877026505935,0.006155942416487524,0.0,6.408923689874859,True,920004,920005,8d3c0d4514b3c83f,502b09414ed09ee8
1,best,V_a,22.5,0.2,5,MB-global-opt,0.23489617837639265,0.14646822684052396,0.22315136945757302,0.07668314261704903,0.07904756331086552,0.002603201712604508,0.0,4.380495360181545,True,920005,920006,d967997babd5405c,3a6704ff105dbcce
1,best,V_a,22.5,0.2,5,PS+GS,0.2362306939755331,0.1466729498212263,0.22441915927675643,0.07774620945553012,0.07884958334128106,0.0024823300646309217,0.0,6.408923689874859,True,920005,920006,d967997babd5405c,3a6704ff105dbcce
1,best,V_a,22.5,0.2,6,MB-global-opt,0.21775540738871801,0.13368851387859246,0.20686763701928212,0.07317912314068965,0.0711504591668236,0.0008257551618923606,0.0,4.380495360181545,True,920006,920007,8dddf65bbd75867b,63301b5298049e1a
1,best,V_a,22.5,0.2,6,PS+GS,0.21671599850267786,0.13386953961698006,0.20588019857754397,0.07201065896056391,0.07285969789445117,0.0008499832587160472,0.0,6.408923689874859,True,920006,920007,8dddf65bbd75867b,63301b5298049e1a
1,best,V_a,22.5,0.2,7,MB-global-opt,0.35259737671352254,0.20929438582677917,0.33496750787784635,0.1256731220510672,0.13550939774983264,0.05117559411375834,0.0,4.380495360181545,True,920007,920008,95a66c432ddb42f1,05ccae53c9fb935b
1,best,V_a,22.5,0.2,7,PS+GS,0.35302673047349714,0.20959936748778152,0.33537539394982224,0.12577602646204072,0.13183141105447838,0.05885217627806702,0.0,6.408923689874859,True,920007,920008,95a66c432ddb42f1,05ccae53c9fb935b
1,best,V_a,22.5,0.2,8,MB-global-opt,0.20785056828017642,0.1272761645291065,0.1974580398661676,0.0701818753370611,0.03393249118144807,0.003624511490174487,0.0,4.380495360181545,True,920008,920009,3e6172be29e03ded,cbe2424bdc770785
1,best,V_a,22.5,0.2,8,PS+GS,0.20907432377284135,0.12745515021939627,0.19862060758419928,0.07116545736480301,0.03636173254458778,0.004133785047987858,0.0,6.408923689874859,True,920008,920009,3e6172be29e03ded,cbe2424bdc770785
1,best,V_a,22.5,0.2,9,MB-global-opt,0.3132386219301851,0.18431492697056853,0.2975766908336758,0.1132617638631073,0.12176729938008057,0.011219488520301486,0.0,4.380495360181545,True,920009,920010,6de9bf0a46cdf1db,a09392691d513de3
