pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
T_epsilon,0.0001,0.015,PS+GS,PS+GS,1.754428941651194e-05,1.832911536008656e-05,7.848259435746198e-07,1.391196276549322e-06,5.368105191472239e-07,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,8.684944875965154e-06,-7.710164567131865e-07,64,3
T_epsilon,0.0006687403049764221,0.015,PS+GS,PS+GS,0.000138205500917334,0.0001450512103805053,6.845709463171296e-06,1.0447789713707856e-05,3.0796907648511507e-06,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,9.87549551534927e-05,5.175870820331547e-05,64,3
T_epsilon,0.00447213595499958,0.015,MB-global-opt,PS+GS,0.0011755628307686353,0.001114022895565077,-6.153993520355825e-05,-4.66635046862951e-05,1.720960575157804e-05,No positive gain,0.0,0.0,0.0,0.0008234079766163729,0.000637014881388497,64,3
T_epsilon,0.029906975624424414,0.015,MB-global-opt,PS+GS,0.009452821108290634,0.00872662875042989,-0.0007261923578607433,-0.0006661046887936894,9.339290350673934e-05,No positive gain,0.0,0.0,0.0,0.006147232181082545,0.0038869952097100352,64,3
T_epsilon,0.20000000000000004,0.015,MB-global-opt,PS+GS,0.06313986996777211,0.06168107536820768,-0.0014587945995644322,-0.0009930391057346721,0.0005154074491164895,No positive gain,0.0,0.0,0.0,0.04853871003837767,0.03642194946185682,64,3
T_epsilon,0.0001,0.0225,MB-global-opt,PS+GS,1.4778159943588477e-05,1.160735686933644e-05,-3.1708030742520365e-06,-2.671240538395153e-06,6.331245627766435e-07,No positive gain,0.08333333333333333,0.041666666666666664,0.041666666666666664,1.697799071701155e-06,-7.835120506416471e-07,64,3
T_epsilon,0.0006687403049764221,0.0225,PS+GS,PS+GS,9.68684826304133e-05,0.0001076784353867858,1.0809952756372492e-05,1.5183000347381514e-05,3.613897573639946e-06,Mixed/none,0.20833333333333334,0.0,0.20833333333333334,6.371848448827543e-05,-5.071546606490694e-06,64,3
T_epsilon,0.00447213595499958,0.0225,MB-global-opt,PS+GS,0.0008246590623477043,0.0007779341216489188,-4.672494069878552e-05,-2.807739807856712e-05,2.0051412524146883e-05,No positive gain,0.125,0.0,0.125,0.0004059960729997523,8.913950953821319e-05,64,3
T_epsilon,0.029906975624424414,0.0225,PS+GS,PS+GS,0.005457187387047511,0.005550773370214398,9.358598316688751e-05,0.00021182661846960021,0.00010764930437923148,Mixed/none,0.08333333333333333,0.0,0.08333333333333333,0.0028202389852381507,0.0003999618476695391,64,3
T_epsilon,0.20000000000000004,0.0225,MB-global-opt,PS+GS,0.06182972387935128,0.056914231177050724,-0.0049154927023005585,-0.004560049098311203,0.000583446058904924,No positive gain,0.0,0.0,0.0,0.044132509700558764,0.03703007463406351,64,3
