pair,scheme,x,y,dK_dx,dK_dy,exploratory_only
W0_Cn2,MB-global-opt,0.075,1e-16,0.14734947145692967,-37036255038569.875,True
W0_Cn2,MB-global-opt,0.0975,1e-16,-0.00305059115034223,15273915242502.592,True
W0_Cn2,MB-global-opt,0.12,1e-16,0.3548221185522218,-28912058351379.305,True
W0_Cn2,MB-global-opt,0.03,3.1622776601683793e-16,1.125566385249643,-2887616592956.208,True
W0_Cn2,MB-global-opt,0.0525,3.1622776601683793e-16,0.3884329523666335,8354259732435.596,True
W0_Cn2,MB-global-opt,0.075,3.1622776601683793e-16,0.12456867818561823,-30151760812655.61,True
W0_Cn2,MB-global-opt,0.0975,3.1622776601683793e-16,0.03314988584733447,3126582033243.752,True
W0_Cn2,MB-global-opt,0.12,3.1622776601683793e-16,-0.35909258335021077,-23208313830359.242,True
W0_Cn2,MB-global-opt,0.03,1e-15,1.1989453618628603,-6454671321245.3,True
W0_Cn2,MB-global-opt,0.0525,1e-15,0.21124420312736375,-9527914672993.691,True
W0_Cn2,MB-global-opt,0.075,1e-15,0.021749242844437133,-15627657442544.219,True
W0_Cn2,MB-global-opt,0.0975,1e-15,0.11028726140415335,-13633660554100.145,True
W0_Cn2,MB-global-opt,0.12,1e-15,-0.3213479396460568,-12669705861255.102,True
W0_Cn2,MB-global-opt,0.03,3.1622776601683794e-15,-0.1588418614082408,-2282302258960.669,True
W0_Cn2,MB-global-opt,0.0525,3.1622776601683794e-15,0.1485344712602771,-7682982715108.988,True
W0_Cn2,MB-global-opt,0.075,3.1622776601683794e-15,0.2287944200349556,-3518044569217.867,True
W0_Cn2,MB-global-opt,0.0975,3.1622776601683794e-15,-0.06949617790621432,-4756315404809.061,True
W0_Cn2,MB-global-opt,0.12,3.1622776601683794e-15,-0.5192209386693928,-6125896281465.564,True
W0_Cn2,MB-global-opt,0.03,1e-14,0.5378215066443683,1091861360305.3477,True
W0_Cn2,MB-global-opt,0.0525,1e-14,-0.005920270359096494,8276716939166.855,True
W0_Cn2,MB-global-opt,0.075,1e-14,0.009329578951079193,294627475438.7864,True
W0_Cn2,MB-global-opt,0.0975,1e-14,0.07898797306291314,2461392453876.22,True
W0_Cn2,MB-global-opt,0.12,1e-14,-0.35593671433723495,4856868810876.498,True
W0_Cn2,best learned,0.03,1e-16,0.7100304643195969,-8079046972866.725,True
W0_Cn2,best learned,0.0525,1e-16,0.4913254767317565,12958804329496.338,True
W0_Cn2,best learned,0.075,1e-16,0.12791295520704582,-37149220926524.79,True
W0_Cn2,best learned,0.0975,1e-16,0.026595211823064346,8808663783155.482,True
W0_Cn2,best learned,0.12,1e-16,0.3320797805166835,-44684845984195.09,True
W0_Cn2,best learned,0.03,3.1622776601683793e-16,1.1472197499698953,-7845816934860.611,True
W0_Cn2,best learned,0.0525,3.1622776601683793e-16,0.37080530092940517,4067950802414.2246,True
W0_Cn2,best learned,0.075,3.1622776601683793e-16,0.10894240973516811,-28939486515371.836,True
W0_Cn2,best learned,0.0975,3.1622776601683793e-16,0.004523440033650461,322023586874.6426,True
W0_Cn2,best learned,0.12,3.1622776601683793e-16,-0.45700316602140045,-30590745721642.688,True
W0_Cn2,best learned,0.03,1e-15,1.1233790202969112,-6187673993182.932,True
W0_Cn2,best learned,0.0525,1e-15,0.24192625724443895,-9803605585454.414,True
W0_Cn2,best learned,0.075,1e-15,0.06173462544759234,-13073453922450.51,True
W0_Cn2,best learned,0.0975,1e-15,0.12080635594503586,-11543282802269.686,True
W0_Cn2,best learned,0.12,1e-15,-0.2821196825188559,-8424254556207.959,True
W0_Cn2,best learned,0.03,3.1622776601683794e-15,-0.15380297093691636,-1771213679406.7153,True
W0_Cn2,best learned,0.0525,3.1622776601683794e-15,0.15356070824058565,-6939971277710.993,True
W0_Cn2,best learned,0.075,3.1622776601683794e-15,0.18587702496029576,-3414889615782.085,True
W0_Cn2,best learned,0.0975,3.1622776601683794e-15,-0.11218292992030893,-5260722335713.169,True
W0_Cn2,best learned,0.12,3.1622776601683794e-15,-0.46557179394343595,-6836609487626.689,True
W0_Cn2,best learned,0.03,1e-14,0.5815315330780463,373456450259.15015,True
W0_Cn2,best learned,0.0525,1e-14,-0.0023357405521164526,7448895190989.271,True
W0_Cn2,best learned,0.075,1e-14,0.00650331286148309,-34819958609.24744,True
W0_Cn2,best learned,0.0975,1e-14,0.0536242667154577,3408679645411.772,True
W0_Cn2,best learned,0.12,1e-14,-0.4536792060339547,5569300273409.455,True
