sample_id,distance_km,r_i,T_i
361,19.0000000000,139.6719627937,0.0000000000
362,19.0000000000,47.5878910135,0.0000000000
363,19.0000000000,112.2720411301,0.0000000000
364,19.0000000000,149.9519720771,0.0000000000
365,19.0000000000,36.3911935342,0.0000000000
366,19.0000000000,96.9136742492,0.0000000000
367,19.0000000000,160.6423089188,0.0000000000
368,19.0000000000,71.4482776831,0.0000000000
369,19.0000000000,69.7788419464,0.0000000000
370,19.0000000000,81.0528514221,0.0000000000
371,19.0000000000,45.1383677967,0.0000000000
372,19.0000000000,42.2093721139,0.0000000000
373,19.0000000000,175.3252716817,0.0000000000
374,19.0000000000,154.1219734369,0.0000000000
375,19.0000000000,76.3258462636,0.0000000000
376,19.0000000000,56.5718955385,0.0000000000
377,19.0000000000,115.3176198613,0.0000000000
378,19.0000000000,207.4004993747,0.0000000000
379,19.0000000000,146.4296515376,0.0000000000
380,19.0000000000,69.3466850473,0.0000000000
381,19.0000000000,80.9429098598,0.0000000000
382,19.0000000000,104.1068552497,0.0000000000
383,19.0000000000,86.1864522099,0.0000000000
384,19.0000000000,56.6224713949,0.0000000000
385,19.0000000000,56.3671165426,0.0000000000
386,19.0000000000,103.5152449668,0.0000000000
387,19.0000000000,185.8959754989,0.0000000000
388,19.0000000000,43.5463863705,0.0000000000
389,19.0000000000,108.4676562130,0.0000000000
390,19.0000000000,161.1419547541,0.0000000000
391,19.0000000000,11.2258380229,0.0000000000
392,19.0000000000,73.6757166344,0.0000000000
393,19.0000000000,115.4795600684,0.0000000000
394,19.0000000000,149.9717557121,0.0000000000
395,19.0000000000,166.9529737524,0.0000000000
396,19.0000000000,57.4843247026,0.0000000000
397,19.0000000000,26.4262151761,0.0000000000
398,19.0000000000,58.1149448835,0.0000000000
399,19.0000000000,89.4594158584,0.0000000000
400,19.0000000000,51.1815458055,0.0000000000
401,19.0000000000,65.1783315320,0.0000000000
402,19.0000000000,118.4832474376,0.0000000000
403,19.0000000000,13.1853247721,0.0000000000
404,19.0000000000,132.5738199350,0.0000000000
405,19.0000000000,14.4632446279,0.0000000000
406,19.0000000000,97.3308814593,0.0000000000
407,19.0000000000,24.1707716662,0.0000000000
408,19.0000000000,56.2702961162,0.0000000000
409,19.0000000000,76.0181198656,0.0000000000
410,19.0000000000,146.6997645211,0.0000000000
411,19.0000000000,46.2081678163,0.0000000000
412,19.0000000000,196.0725941757,0.0000000000
413,19.0000000000,146.7972721458,0.0000000000
414,19.0000000000,27.9940904183,0.0000000000
415,19.0000000000,9.4016539989,0.0000000000
416,19.0000000000,40.9843692497,0.0000000000
417,19.0000000000,98.1957789806,0.0000000000
418,19.0000000000,247.0479122070,0.0000000000
419,19.0000000000,59.2793958323,0.0000000000
420,19.0000000000,117.5897241886,0.0000000000
421,19.0000000000,28.8071813495,0.0000000000
422,19.0000000000,124.2878444599,0.0000000000
423,19.0000000000,140.2474512469,0.0000000000
424,19.0000000000,148.0994890495,0.0000000000
425,19.0000000000,149.2239235393,0.0000000000
426,19.0000000000,127.5905210786,0.0000000000
427,19.0000000000,28.9633785742,0.0000000000
428,19.0000000000,90.2936523647,0.0000000000
429,19.0000000000,65.7024975772,0.0000000000
430,19.0000000000,68.0785820547,0.0000000000
431,19.0000000000,148.6532386145,0.0000000000
