H_km,T,s2I,Asci_dB,GM
1160.0,0.02029326319404864,3.5778335849556697e-10,0.00031960665763198994,0.0012852748735406594
1180.0,0.019611185689393747,3.5778335849556697e-10,0.00031960665763198994,0.0012309153318355998
1200.0,0.01896292705132769,3.5778335849556697e-10,0.00031960665763198994,0.0011797973735018577
1220.0,0.01834628792926086,3.5778335849556697e-10,0.00031960665763198994,0.0011316727327843473
1240.0,0.017759244897185132,3.5778335849556697e-10,0.00031960665763198994,0.0010863162038441884
1260.0,0.017199933833403794,3.5778335849556697e-10,0.00031960665763198994,0.0010435231397982365
1280.0,0.016666635103705977,3.5778335849556697e-10,0.00031960665763198994,0.0010031072601259274
1300.0,0.016157760327758498,3.5778335849556697e-10,0.00031960665763198994,0.0009648987241688799
1320.0,0.015671840538287348,3.5778335849556697e-10,0.00031960665763198994,0.0009287424343817664
1340.0,0.015207515568006157,3.5778335849556697e-10,0.00031960665763198994,0.000894496539362459
1360.0,0.014763524520929857,3.5778335849556697e-10,0.00031960665763198994,0.0008620311096602176
1380.0,0.014338697203272355,3.5778335849556697e-10,0.00031960665763198994,0.0008312269646696263
1400.0,0.013931946405057072,3.5778335849556697e-10,0.00031960665763198994,0.0008019746309915893
1420.0,0.013542260937270323,3.5778335849556697e-10,0.00031960665763198994,0.0007741734160876118
1440.0,0.013168699341199788,3.5778335849556697e-10,0.00031960665763198994,0.0007477305825513737
1460.0,0.012810384196806097,3.5778335849556697e-10,0.00031960665763198994,0.0007225606112810402
1480.0,0.01246649696581075,3.5778335849556697e-10,0.00031960665763198994,0.0006985845423240905
1500.0,0.01213627331284972,3.5778335849556697e-10,0.00031960665763198994,0.0006757293846188714
1520.0,0.011818998854705623,3.5778335849556697e-10,0.00031960665763198994,0.000653927586458717
1540.0,0.011514005293435598,3.5778335849556697e-10,0.00031960665763198994,0.0006331165594497361
1560.0,0.011220666894276737,3.5778335849556697e-10,0.00031960665763198994,0.0006132382503376173
1580.0,0.010938397273638786,3.5778335849556697e-10,0.00031960665763198994,0.0005942387549003197
1600.0,0.010666646466371816,3.5778335849556697e-10,0.00031960665763198994,0.0005760679695644352
1620.0,0.01040489824489859,3.5778335849556697e-10,0.00031960665763198994,0.0005586792763804423
1640.0,0.010152667665791149,3.5778335849556697e-10,0.00031960665763198994,0.0005420292579862637
1660.0,0.00990949882200315,3.5778335849556697e-10,0.00031960665763198994,0.0005260774391973484
1680.0,0.009674962781289636,3.5778335849556697e-10,0.00031960665763198994,0.0005107860525028207
1700.0,0.00944865569339511,3.5778335849556697e-10,0.00031960665763198994,0.000496119824988598
1720.0,0.009230197050402875,3.5778335849556697e-10,0.00031960665763198994,0.00048204578445087964
1740.0,0.009019228086243855,3.5778335849556697e-10,0.00031960665763198994,0.00046853308273465955
1760.0,0.008815410302786627,3.5778335849556697e-10,0.00031960665763198994,0.00045555283474679395
1780.0,0.00861842411119551,3.5778335849556697e-10,0.00031960665763198994,0.0004430779713195561
1800.0,0.008427967578367853,3.5778335849556697e-10,0.00031960665763198994,0.0004310831048041277
1820.0,0.008243755269264538,3.5778335849556697e-10,0.00031960665763198994,0.0004195444060553794
1840.0,0.008065517176840693,3.5778335849556697e-10,0.00031960665763198994,0.00040843949172458295
1860.0,0.007892997732082284,3.5778335849556697e-10,0.00031960665763198994,0.00039774732084519107
1880.0,0.007725954887367543,3.5778335849556697e-10,0.00031960665763198994,0.00038744810016280197
1900.0,0.007564159267011601,3.5778335849556697e-10,0.00031960665763198994,0.0003775231967279701
1920.0,0.007407393379424874,3.5778335849556697e-10,0.00031960665763198994,0.0003679550578610108
1940.0,0.007255450885830546,3.5778335849556697e-10,0.00031960665763198994,0.0003587271372406369
1960.0,0.007108135920947485,3.5778335849556697e-10,0.00031960665763198994,0.00034982382696812503
1980.0,0.00696526246146104,3.5778335849556697e-10,0.00031960665763198994,0.00034123039474438094
2000.0,0.006826653738477972,3.5778335849556697e-10,0.00031960665763198994,0.0003329329260124726
2020.0,0.0066921416904989345,3.5778335849556697e-10,0.00031960665763198994,0.0003249182703433523
2040.0,0.006561566453746603,3.5778335849556697e-10,0.00031960665763198994,0.000317173992015295
2060.0,0.00643477588696198,3.5778335849556697e-10,0.00031960665763198994,0.00030968832414474644
2080.0,0.0063116251280306655,3.5778335849556697e-10,0.00031960665763198994,0.0003024501263072712
2100.0,0.006191976180025365,3.5778335849556697e-10,0.00031960665763198994,0.00029544884510332783
2120.0,0.006075697524455292,3.5778335849556697e-10,0.00031960665763198994,0.00028867447775574387
2140.0,0.005962663759697763,3.5778335849556697e-10,0.00031960665763198994,0.0002821175381158003
2160.0,0.005852755262755458,3.5778335849556697e-10,0.00031960665763198994,0.0002757690253028522
2180.0,0.005745857872635272,3.5778335849556697e-10,0.00031960665763198994,0.00026962039421955623
2200.0,0.005641862593783439,3.5778335849556697e-10,0.00031960665763198994,0.000263663528527535
2220.0,0.0055406653181381115,3.5778335849556697e-10,0.00031960665763198994,0.00025789071504483084
2240.0,0.005442166564475416,3.5778335849556697e-10,0.00031960665763198994,0.0002522946202472131
2260.0,0.005346271233830343,3.5778335849556697e-10,0.00031960665763198994,0.0002468682681861286
2280.0,0.0052528883798691655,3.5778335849556697e-10,0.00031960665763198994,0.0002416050198336562
2300.0,0.005161930993178047,3.5778335849556697e-10,0.00031960665763198994,0.0002364985539527898
2320.0,0.005073315798512159,3.5778335849556697e-10,0.00031960665763198994,0.00023154284908346624
2340.0,0.004986963064122991,3.5778335849556697e-10,0.00031960665763198994,0.0002267321667974477
2360.0,0.004902796422348436,3.5778335849556697e-10,0.00031960665763198994,0.00022206103593265698
2380.0,0.004820742700711788,3.5778335849556697e-10,0.00031960665763198994,0.0002175242379264617
2400.0,0.004740731762831919,3.5778335849556697e-10,0.00031960665763198994,0.00021311679308157888
2420.0,0.0046626963584987125,3.5778335849556697e-10,0.00031960665763198994,0.00020883394750669838
2440.0,0.0045865719823152155,3.5778335849556697e-10,0.00031960665763198994,0.00020467116128045255
2460.0,0.004512296740351621,3.5778335849556697e-10,0.00031960665763198994,0.00020062409677673587
2480.0,0.004439811224296281,3.5778335849556697e-10,0.00031960665763198994,0.00019668860824195722
2500.0,0.004369058392625901,3.5778335849556697e-10,0.00031960665763198994,0.0001928607316761463
2520.0,0.004299983458350947,3.5778335849556697e-10,0.00031960665763198994,0.00018913667540877872
2540.0,0.0042325337829239055,3.5778335849556697e-10,0.00031960665763198994,0.00018551281128321995
2560.0,0.0041666587759264925,3.5778335849556697e-10,0.00031960665763198994,0.0001819856663429209
2580.0,0.004102309800179053,3.5778335849556697e-10,0.00031960665763198994,0.00017855191492036678
2600.0,0.004039440081939625,3.5778335849556697e-10,0.00031960665763198994,0.0001752083713061599
2620.0,0.003978004625883087,3.5778335849556697e-10,0.00031960665763198994,0.00017195198282090804
2640.0,0.003917960134571836,3.5778335849556697e-10,0.00031960665763198994,0.00016877982313069466
2660.0,0.0038592649321487773,3.5778335849556697e-10,0.00031960665763198994,0.00016568908622114232
2680.0,0.0038018788920015385,3.5778335849556697e-10,0.00031960665763198994,0.00016267708044075038
2700.0,0.0037457633681634924,3.5778335849556697e-10,0.00031960665763198994,0.00015974122305003908
2720.0,0.0036908811302324616,3.5778335849556697e-10,0.00031960665763198994,0.0001568790349834922
2740.0,0.0036371963016026292,3.5778335849556697e-10,0.00031960665763198994,0.00015408813594013082
2760.0,0.0035846743008180874,3.5778335849556697e-10,0.00031960665763198994,0.0001513662397443086
2780.0,0.003533281785869245,3.5778335849556697e-10,0.00031960665763198994,0.00014871114997616446
2800.0,0.003482986601264269,3.5778335849556697e-10,0.00031960665763198994,0.00014612075569062424
2820.0,0.00343375772771891,3.5778335849556697e-10,0.00031960665763198994,0.0001435930276430077
2840.0,0.003385565234317578,3.5778335849556697e-10,0.00031960665763198994,0.0001411260144213826
2860.0,0.003338380233007953,3.5778335849556697e-10,0.00031960665763198994,0.00013871783902810568
2880.0,0.003292174835299946,3.5778335849556697e-10,0.00031960665763198994,0.00013636669541579848
2900.0,0.0032469221110477844,3.5778335849556697e-10,0.00031960665763198994,0.00013407084540876038
2920.0,0.0032025960492015246,3.5778335849556697e-10,0.00031960665763198994,0.00013182861564520632
2940.0,0.003159171520421106,3.5778335849556697e-10,0.00031960665763198994,0.00012963839473216238
2960.0,0.0031166242414526883,3.5778335849556697e-10,0.00031960665763198994,0.00012749863051881097
2980.0,0.003074930741172908,3.5778335849556697e-10,0.00031960665763198994,0.00012540782753067171
