H_km,T,s2I,Asci_dB,SKR
2320.0,0.005073315798512159,3.5778335849556697e-10,0.00031960665763198994,-0.0001654248764432208
2340.0,0.004986963064122991,3.5778335849556697e-10,0.00031960665763198994,-0.00016385387816329582
2360.0,0.004902796422348436,3.5778335849556697e-10,0.00031960665763198994,-0.0001623016895036008
2380.0,0.004820742700711788,3.5778335849556697e-10,0.00031960665763198994,-0.00016076820678617872
2400.0,0.004740731762831919,3.5778335849556697e-10,0.00031960665763198994,-0.00015925331315907358
2420.0,0.0046626963584987125,3.5778335849556697e-10,0.00031960665763198994,-0.00015775687996856275
2440.0,0.0045865719823152155,3.5778335849556697e-10,0.00031960665763198994,-0.00015627876800612217
2460.0,0.004512296740351621,3.5778335849556697e-10,0.00031960665763198994,-0.0001548188286821737
2480.0,0.004439811224296281,3.5778335849556697e-10,0.00031960665763198994,-0.0001533769050616184
2500.0,0.004369058392625901,3.5778335849556697e-10,0.00031960665763198994,-0.00015195283284960396
2520.0,0.004299983458350947,3.5778335849556697e-10,0.00031960665763198994,-0.00015054644128051494
2540.0,0.0042325337829239055,3.5778335849556697e-10,0.00031960665763198994,-0.00014915755391272983
2560.0,0.0041666587759264925,3.5778335849556697e-10,0.00031960665763198994,-0.00014778598940645802
2580.0,0.004102309800179053,3.5778335849556697e-10,0.00031960665763198994,-0.00014643156218077126
2600.0,0.004039440081939625,3.5778335849556697e-10,0.00031960665763198994,-0.00014509408304455324
2620.0,0.003978004625883087,3.5778335849556697e-10,0.00031960665763198994,-0.00014377335979045864
2640.0,0.003917960134571836,3.5778335849556697e-10,0.00031960665763198994,-0.00014246919768387415
2660.0,0.0038592649321487773,3.5778335849556697e-10,0.00031960665763198994,-0.00014118139996984716
2680.0,0.0038018788920015385,3.5778335849556697e-10,0.00031960665763198994,-0.00013990976829540106
2700.0,0.0037457633681634924,3.5778335849556697e-10,0.00031960665763198994,-0.00013865410312073644
2720.0,0.0036908811302324616,3.5778335849556697e-10,0.00031960665763198994,-0.00013741420407796892
2740.0,0.0036371963016026292,3.5778335849556697e-10,0.00031960665763198994,-0.0001361898702966068
2760.0,0.0035846743008180874,3.5778335849556697e-10,0.00031960665763198994,-0.00013498090072027792
2780.0,0.003533281785869245,3.5778335849556697e-10,0.00031960665763198994,-0.00013378709436857514
2800.0,0.003482986601264269,3.5778335849556697e-10,0.00031960665763198994,-0.00013260825060573602
2820.0,0.00343375772771891,3.5778335849556697e-10,0.00031960665763198994,-0.00013144416934094706
2840.0,0.003385565234317578,3.5778335849556697e-10,0.00031960665763198994,-0.00013029465126299198
2860.0,0.003338380233007953,3.5778335849556697e-10,0.00031960665763198994,-0.000129159497998257
2880.0,0.003292174835299946,3.5778335849556697e-10,0.00031960665763198994,-0.00012803851230908396
2900.0,0.0032469221110477844,3.5778335849556697e-10,0.00031960665763198994,-0.00012693149821858818
2920.0,0.0032025960492015246,3.5778335849556697e-10,0.00031960665763198994,-0.00012583826115476141
2940.0,0.003159171520421106,3.5778335849556697e-10,0.00031960665763198994,-0.0001247586080877015
2960.0,0.0031166242414526883,3.5778335849556697e-10,0.00031960665763198994,-0.00012369234761385242
2980.0,0.003074930741172908,3.5778335849556697e-10,0.00031960665763198994,-0.00012263929006218382
