L_m,L_km,T_eff,SKR_GM,SKR_2PSK,SKR_4PSK,SKR_8PSK,SKR_16QAM,SKR_64QAM,SKR_256QAM
17118.64406779661,17.11864406779661,0.13047360239485187,0.017674090188107866,0.0,0.0070570891015519985,0.00900060968601997,0.0,0.0,0.0
17372.881355932204,17.372881355932204,0.12563558931254593,0.01608364641820842,0.0,0.00668456056358941,0.008566423190549961,0.0,0.0,0.0
17627.118644067796,17.627118644067796,0.1205949556073475,0.014440306265855296,0.0,0.006301837253812746,0.008119075980611668,0.0,0.0,0.0
17881.35593220339,17.88135593220339,0.11584665717481382,0.012905166282345615,0.0,0.005946492655390236,0.007702479066092199,0.0,0.0,0.0
18135.593220338982,18.135593220338983,0.11064872500380979,0.011239114422016916,0.0,0.005563432012036417,0.007251924775247189,0.0,0.0,0.0
18389.830508474577,18.389830508474578,0.10647872666162075,0.009913549463550969,0.0,0.005260738817461478,0.006894734607665889,0.0,0.0,0.0
18644.067796610172,18.644067796610173,0.10222987172450095,0.008573084658509575,0.0,0.004956673275759965,0.006534803618717316,0.0,0.0,0.0
18898.305084745763,18.898305084745765,0.09864742203296036,0.00745089980676561,0.0,0.004703807020610962,0.006234556474901051,0.0,0.0,0.0
19152.542372881355,19.152542372881356,0.0937516893734662,0.005929330994277657,0.0,0.004363597479472649,0.005829164727839363,0.0,0.0,0.0
19406.77966101695,19.406779661016948,0.0899527740760187,0.004758280042786639,0.0,0.00410400516861956,0.005518631638039038,0.0,0.0,0.0
19661.016949152545,19.661016949152543,0.086758271064179,0.003780120879694107,0.0,0.003888787228759523,0.005260320307462055,0.0,0.0,0.0
19915.254237288136,19.915254237288135,0.08319717334722464,0.0026968540875558777,0.0,0.003652282916112814,0.004975486912223874,0.0,0.0,0.0
20169.491525423728,20.169491525423727,0.07950691601912899,0.0015823175074574508,0.0,0.003411118515792684,0.004683901709759346,0.0,0.0,0.0
20423.728813559323,20.423728813559322,0.07622678576086815,0.0005985681625178818,0.0,0.003200219624273141,0.004427881321087627,0.0,0.0,0.0
20677.966101694918,20.677966101694917,0.07318096700002617,0.0,0.0,0.0030074055336267447,0.004192899484543988,0.0,0.0,0.0
20932.20338983051,20.93220338983051,0.07000089918097144,0.0,0.0,0.0028093035465309515,0.0039504804937834925,0.0,0.0,0.0
21186.4406779661,21.1864406779661,0.0673122910300166,0.0,0.0,0.0026444636341228407,0.0037479296567998234,0.0,0.0,0.0
21440.677966101695,21.440677966101696,0.06494513386780636,0.0,0.0,0.002501406390726525,0.003571477520758766,0.0,0.0,0.0
21694.91525423729,21.69491525423729,0.06210500207143883,0.0,0.0,0.002332414971170472,0.0033621695884269026,0.0,0.0,0.0
21949.15254237288,21.949152542372882,0.05976132816058103,0.0,0.0,0.002195213558981751,0.0031914850934425497,0.0,0.0,0.0
22203.389830508473,22.203389830508474,0.056805935598027935,0.0,0.0,0.002025213339935595,0.0029789725494656864,0.0,0.0,0.0
22457.627118644068,22.45762711864407,0.05471179885680572,0.0,0.0,0.0019068625906426377,0.0028302931932550884,0.0,0.0,0.0
22711.864406779663,22.711864406779664,0.05228017714422803,0.0,0.0,0.0017717186598927102,0.002659708648235509,0.0,0.0,0.0
22966.101694915254,22.966101694915256,0.0501054727406629,0.0,0.0,0.001653005404795219,0.0025090854656241116,0.0,0.0,0.0
23220.338983050846,23.220338983050844,0.04788830140315057,0.0,0.0,0.0015341482607781603,0.002357476980488396,0.0,0.0,0.0
23474.57627118644,23.47457627118644,0.04575819698732613,0.0,0.0,0.0014221085148207226,0.002213754083326353,0.0,0.0,0.0
23728.813559322036,23.728813559322035,0.044176596291912534,0.0,0.0,0.0013403336921603316,0.002108309896864894,0.0,0.0,0.0
23983.050847457627,23.983050847457626,0.04239616024347114,0.0,0.0,0.0012497738319446339,0.001990950845401941,0.0,0.0,0.0
24237.28813559322,24.237288135593218,0.04046039324699618,0.0,0.0,0.0011531775592882824,0.0018650236422893644,0.0,0.0,0.0
24491.525423728814,24.491525423728813,0.038642300352376806,0.0,0.0,0.0010642944297613727,0.0017483997499287297,0.0,0.0,0.0
24745.76271186441,24.74576271186441,0.03727733769970648,0.0,0.0,0.0009987824976314275,0.001661932402887931,0.0,0.0,0.0
25000.0,25.0,0.035524880813536185,0.0,0.0,0.0009162663885935694,0.0015523425167231538,0.0,0.0,0.0
