parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
beam_waist,0.102,m,1,303026,0.016691429203449636,0.0012282919624139917,4.183136871137999e-05
beam_waist,0.102,m,2,304026,0.0156845573605607,0.0011425861352638827,3.8850754659727066e-05
beam_waist,0.102,m,3,305026,0.016939561522775926,0.0012380756020631302,4.22242672295757e-05
beam_waist,0.102,m,4,306026,0.015765718947505992,0.0011691419765023324,3.983187587390524e-05
beam_waist,0.1065,m,0,302026,0.015984091641184885,0.0011702292063400857,3.984566563026634e-05
beam_waist,0.1065,m,1,303026,0.01664626215738052,0.001218264037235097,4.158150221312759e-05
beam_waist,0.1065,m,2,304026,0.015668485692849187,0.0011508796963962363,3.918500684235021e-05
beam_waist,0.1065,m,3,305026,0.01768893923275481,0.0012795823881112545,4.3718455196316286e-05
beam_waist,0.1065,m,4,306026,0.01632934417482179,0.0011868931017102718,4.0448487974777125e-05
beam_waist,0.11099999999999999,m,0,302026,0.01648596154056172,0.0011948720442341645,4.0720088267467286e-05
beam_waist,0.11099999999999999,m,1,303026,0.015981465027394566,0.0011639127413596035,3.9688043154566255e-05
beam_waist,0.11099999999999999,m,2,304026,0.0169722027097768,0.0012353310615068613,4.221838888515683e-05
beam_waist,0.11099999999999999,m,3,305026,0.01539174293437587,0.0011267501464981393,3.82849109812379e-05
beam_waist,0.11099999999999999,m,4,306026,0.01600010499566116,0.0011614769009717953,3.953781499560147e-05
beam_waist,0.11549999999999999,m,0,302026,0.016204064681698514,0.0011854254685923007,4.036559603045123e-05
beam_waist,0.11549999999999999,m,1,303026,0.015272294239055042,0.001114299964464792,3.788744582025605e-05
beam_waist,0.11549999999999999,m,2,304026,0.016644352751218443,0.0012148747910151348,4.1379181371842266e-05
beam_waist,0.11549999999999999,m,3,305026,0.016286600963413327,0.0011878281177637156,4.042081674968112e-05
beam_waist,0.11549999999999999,m,4,306026,0.0162612980902938,0.0011882530113875647,4.048989697492955e-05
beam_waist,0.12,m,0,302026,0.01703568779868238,0.0012427679872769864,4.245345487550664e-05
beam_waist,0.12,m,1,303026,0.016650319316061667,0.001203042072963973,4.090017670205573e-05
beam_waist,0.12,m,2,304026,0.0176027280312294,0.001264169253716257,4.317006018354774e-05
beam_waist,0.12,m,3,305026,0.017012794181094013,0.0012418128075932667,4.2481514416940064e-05
beam_waist,0.12,m,4,306026,0.01589845341366694,0.0011597907603308841,3.9431482537068824e-05
excess_noise,0.0,SNU,0,302026,0.012005406732072595,0.0009755323821604728,9.29059268854962e-06
excess_noise,0.0,SNU,1,303026,0.012543787105088505,0.001021469604851919,9.748011714709459e-06
excess_noise,0.0,SNU,2,304026,0.011396803278789433,0.0009348830844930576,8.874486222443245e-06
excess_noise,0.0,SNU,3,305026,0.012053784196371436,0.0009741077846543659,9.282681141128957e-06
excess_noise,0.0,SNU,4,306026,0.011296909132446204,0.0009101689260873416,8.648679701191153e-06
excess_noise,0.0005,SNU,0,302026,0.014789061532996091,0.001102590194002464,3.0964187660922904e-05
excess_noise,0.0005,SNU,1,303026,0.013827559529086295,0.0010374227855131039,2.9016347929143593e-05
excess_noise,0.0005,SNU,2,304026,0.013405592181573103,0.0010182154975642843,2.845016767075159e-05
excess_noise,0.0005,SNU,3,305026,0.01367410764533576,0.001030250783501661,2.8818300140731612e-05
excess_noise,0.0005,SNU,4,306026,0.01295384658250406,0.000980979155723271,2.7408718417398087e-05
excess_noise,0.001,SNU,0,302026,0.01468219300051412,0.00107950075639213,3.652294726034372e-05
excess_noise,0.001,SNU,1,303026,0.014658584198377672,0.0010668841875393006,3.6069852278917264e-05
excess_noise,0.001,SNU,2,304026,0.014710286159042438,0.0010706458657594488,3.6177157878965194e-05
excess_noise,0.001,SNU,3,305026,0.014836241409894174,0.001091552912660717,3.692681595329067e-05
excess_noise,0.001,SNU,4,306026,0.014206420750655369,0.001039006280723639,3.509667580918821e-05
excess_noise,0.0015,SNU,0,302026,0.014668556554108913,0.0010503714600000238,3.970602761987907e-05
excess_noise,0.0015,SNU,1,303026,0.015887955558076157,0.001136592877426226,4.311323861529853e-05
excess_noise,0.0015,SNU,2,304026,0.01595285575830448,0.001149849619966798,4.360386280126763e-05
excess_noise,0.0015,SNU,3,305026,0.015882804716702708,0.0011279290435334925,4.269095179623705e-05
excess_noise,0.0015,SNU,4,306026,0.015157869284406092,0.001094981808617333,4.1439156169938846e-05
excess_noise,0.002,SNU,0,302026,0.015685667313183924,0.0011140711043763005,4.556006744663166e-05
excess_noise,0.002,SNU,1,303026,0.015590106152729932,0.0011033325095383788,4.5202729710213524e-05
excess_noise,0.002,SNU,2,304026,0.0153620784318711,0.001090880347953271,4.467880438201871e-05
excess_noise,0.002,SNU,3,305026,0.015498446107537079,0.0010896538833142615,4.458483738905075e-05
excess_noise,0.002,SNU,4,306026,0.015444451123166517,0.001082779823187387,4.4361889168103436e-05
excess_noise,0.0025,SNU,0,302026,0.01645635504149736,0.0011506377340571323,5.024071690493473e-05
excess_noise,0.0025,SNU,1,303026,0.016303561173599462,0.001133185329336931,4.9396034599788474e-05
excess_noise,0.0025,SNU,2,304026,0.01571827687745775,0.0011045312915559102,4.803191089300038e-05
excess_noise,0.0025,SNU,3,305026,0.015120837649293962,0.001066532738995379,4.6334738287530375e-05
excess_noise,0.0025,SNU,4,306026,0.015569091649312678,0.001081864459434487,4.704746217253086e-05
excess_noise,0.003,SNU,0,302026,0.015626427749828142,0.0010855267317663054,4.970121806351091e-05
excess_noise,0.003,SNU,1,303026,0.015793528702161087,0.0010840245662706027,4.9535463676780855e-05
excess_noise,0.003,SNU,2,304026,0.016521130328426437,0.0011499228816183524,5.269573928406643e-05
excess_noise,0.003,SNU,3,305026,0.015680959314509926,0.001074617965564904,4.9233015823855336e-05
excess_noise,0.003,SNU,4,306026,0.01654253894003028,0.0011401596301943723,5.225513598856174e-05
excess_noise,0.0035,SNU,0,302026,0.017179204140907026,0.0011681442432787004,5.5913418911673896e-05
excess_noise,0.0035,SNU,1,303026,0.017171158166044875,0.0011756216455072847,5.614414242061799e-05
excess_noise,0.0035,SNU,2,304026,0.015942032442844187,0.0010948398975331817,5.2251071252486236e-05
excess_noise,0.0035,SNU,3,305026,0.016773953320528407,0.0011477838335417472,5.4724159154088264e-05
excess_noise,0.0035,SNU,4,306026,0.01652129929160157,0.0011300147583038558,5.4041886938346884e-05
excess_noise,0.004,SNU,0,302026,0.016771834094781668,0.0011388663799795865,5.641262060711999e-05
