T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
0.001,0.025,-26.989754329831136,MB-fixed,0.0014396756585579595,0.0012354718982097168,0.0001322199774203447,3.343925478079938e-05,4.9152263567562855e-05,0.00021528769127312656,0.0001322199774203447,6.408923689874861,0.0,3
0.001,0.025,-26.989754329831136,MB-global-opt,0.0014483497787137385,0.0012217993936107785,0.00015413289616727303,0.00010475478256149861,-0.00010609240967672672,0.0004143582020112728,0.00015413289616727303,4.7380473561634675,0.0,3
0.001,0.025,-26.989754329831136,PS,0.0014396756585588477,0.0012354718982097168,0.00013221997742118844,3.343925478063298e-05,4.915226356881995e-05,0.00021528769127355694,0.00013221997742118844,6.408923689874858,0.0,3
0.001,0.025,-26.989754329831136,PS+GS,0.001439673155991213,0.0012329539717521598,0.00013473552643949267,3.34386240024477e-05,5.166937952700196e-05,0.00021780167335198338,0.00013473552643949267,6.408923689874858,0.0,3
0.0014677992676220691,0.025,-25.323113058102855,GS,0.002132401078563125,0.0025677503555083803,-0.0005419693308734117,1.1707292946621044e-05,-0.0005710518587842613,-0.000512886802962562,0.0,8.0,1.0,3
0.0014677992676220691,0.025,-25.323113058102855,MB-fixed,0.0021637543700088933,0.0018019086295504305,0.0002536580219580178,6.279156261862155e-05,9.767513327930068e-05,0.0004096409106367349,0.0002536580219580178,6.408923689874861,0.0,3
0.0014677992676220691,0.025,-25.323113058102855,MB-global-opt,0.0021585038579795914,0.001782565130447722,0.00026801353463288993,8.935370244849637e-05,4.604663269881299e-05,0.0004899804365669669,0.00026801353463288993,4.7380473561634675,0.0,3
0.0014677992676220691,0.025,-25.323113058102855,PS,0.0021637543700097814,0.0018019086295504305,0.00025365802195886173,6.279156261922501e-05,9.767513327864553e-05,0.00040964091063907794,0.00025365802195886173,6.408923689874858,0.0,3
0.0014677992676220691,0.025,-25.323113058102855,PS+GS,0.0021637577183177825,0.001798346690295105,0.0002572231421067883,6.27933794975626e-05,0.0001012357400505761,0.0004132105441630005,0.0002572231421067883,6.408923689874858,0.0,3
0.002154434690031882,0.025,-23.656483665839218,GS,0.0031169564174566844,0.003705673342117466,-0.0007445647455336159,4.2023470383737035e-05,-0.0008489568330911865,-0.0006401726579760453,0.0,8.0,1.0,3
0.002154434690031882,0.025,-23.656483665839218,MB-fixed,0.0030941008407490145,0.002627536959614485,0.0003118588390970788,7.057195943600989e-05,0.0001365483732721446,0.000487169304922013,0.0003118588390970788,6.408923689874861,0.0,3
0.002154434690031882,0.025,-23.656483665839218,MB-global-opt,0.0030345901559482393,0.0026002062065011433,0.0002826544416496841,0.0002462921732830384,-0.00032916923410407687,0.000894478117403445,0.0002826544416496841,4.7380473561634675,0.0,3
0.002154434690031882,0.025,-23.656483665839218,PS,0.003094100840750199,0.002627536959614485,0.00031185883909820377,7.05719594354181e-05,0.00013654837327473963,0.0004871693049216679,0.00031185883909820377,6.408923689874858,0.0,3
0.002154434690031882,0.025,-23.656483665839218,PS+GS,0.003094104114369204,0.0026225047798866807,0.00031689412876406323,7.057129304716627e-05,0.00014158531834078614,0.0004922029391873403,0.00031689412876406323,6.408923689874858,0.0,3
0.0031622776601683794,0.025,-21.98987170993461,GS,0.004579084221995859,0.005345649445444023,-0.0009955194345479571,5.957262190777027e-05,-0.0011435060312150593,-0.000847532837880855,0.0,8.0,1.0,3
0.0031622776601683794,0.025,-21.98987170993461,MB-fixed,0.004470821369949658,0.0038304351979292495,0.00041684510352292623,0.00014859582251113945,4.771261701902056e-05,0.0007859775900268318,0.00041684510352292623,6.408923689874861,0.0,3
0.0031622776601683794,0.025,-21.98987170993461,MB-global-opt,0.004346948344399711,0.0037918721885019657,0.00033772873867775983,0.000264744738975942,-0.00031993365139172507,0.0009953911287472446,0.00033772873867775983,4.7380473561634675,0.0,3
0.0031622776601683794,0.025,-21.98987170993461,PS,0.004470821369950843,0.0038304351979292495,0.0004168451035240512,0.0001485958225106958,4.7712617021247565e-05,0.0007859775900268548,0.0004168451035240512,6.408923689874858,0.0,3
0.0031622776601683794,0.025,-21.98987170993461,PS+GS,0.004470815174750935,0.003823335748450729,0.00042393866756265837,0.00014859211602253703,5.4815388486867996e-05,0.0007930619466384487,0.00042393866756265837,6.408923689874858,0.0,3
0.004641588833612777,0.025,-20.32328534643618,GS,0.006551692554459976,0.007707581788485962,-0.0014834738617489857,2.2512761615710783e-05,-0.0015393986618735252,-0.0014275490616244462,0.0,8.0,1.0,3
0.004641588833612777,0.025,-20.32328534643618,MB-fixed,0.006357329244840375,0.005581897562516369,0.0004575652200819863,0.0002185283819136726,-8.528937451081933e-05,0.0010004198146747918,0.0004575652200819863,6.408923689874861,0.0,3
0.004641588833612777,0.025,-20.32328534643618,MB-global-opt,0.006258074374890417,0.005527563688734416,0.00041760696741147997,0.0004705793965007337,-0.0007513770577942174,0.0015865909926171774,0.00041760696741147997,4.7380473561634675,0.0,3
0.004641588833612777,0.025,-20.32328534643618,PS,0.0063573292448427425,0.005581897562516369,0.0004575652200842362,0.0002185283819140568,-8.528937450952382e-05,0.0010004198146779963,0.0004575652200842362,6.408923689874858,0.0,3
0.004641588833612777,0.025,-20.32328534643618,PS+GS,0.006357322878074297,0.005571895967484863,0.00046756076668571833,0.00021852827241290984,-7.529355589211303e-05,0.0010104150892635496,0.00046756076668571833,6.408923689874858,0.0,3
0.006812920690579608,0.025,-18.65673654601188,GS,0.009820803422045424,0.011106300507953026,-0.0017765372570098734,0.00025283828027592657,-0.002404622364009619,-0.001148452150010128,0.0,8.0,1.0,3
