case_id,case_type,T,epsilon,SNR_dB,baseline,oracle_nu,mean_K_MB,mean_K_joint,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,key_extension_fraction,mean_delta_I_AB,mean_delta_chi_BE,gain_source,evaluation_seed_significant,training_seed_count,outperform_allowed
4,near_threshold,1.4677992676e-05,0.025,-45.323034173580155,MB-fixed,0.37,8.605514919723932e-07,9.123034210567475e-07,5.175192908435432e-08,8.954147913956053e-12,5.174552367280683e-08,5.1758334495901805e-08,1.0,0.0,1.3085532657441945e-12,-5.175068595875132e-08,No positive gain,True,1,False
4,near_threshold,1.4677992676e-05,0.025,-45.323034173580155,MB-global-opt,0.37,1.257056198324946e-06,9.123034210567475e-07,-3.447527772681985e-07,9.335913870357892e-08,-4.11537881876927e-07,-2.7796767265947e-07,0.0,0.0,-1.2179640833664963e-07,2.2904618934838084e-07,No positive gain,False,1,False
4,near_threshold,1.4677992676e-05,0.025,-45.323034173580155,MB-oracle-per-state,0.37,1.2400447541560662e-06,9.123034210567475e-07,-3.277413330993187e-07,1.0678557443214398e-07,-4.041311312292848e-07,-2.513515349693526e-07,0.0,0.0,-1.522809655263302e-07,1.8307441584930473e-07,No positive gain,False,1,False
5,near_threshold,1.2115276586e-05,0.025,-46.156367367829006,MB-fixed,0.35,5.947381083437609e-07,6.380071473310868e-07,4.326903898732595e-08,5.05372147245347e-12,4.326542377276969e-08,4.327265420188221e-08,1.0,0.0,-1.91429094797968e-12,-4.3270857563726395e-08,No positive gain,True,1,False
5,near_threshold,1.2115276586e-05,0.025,-46.156367367829006,MB-global-opt,0.35,8.985828464913577e-07,6.380071473310868e-07,-2.605756991602709e-07,1.0149601341447955e-07,-3.3318157328660404e-07,-1.8796982503393776e-07,0.0,0.0,-7.27016205459563e-08,1.9150915964161186e-07,No positive gain,False,1,False
5,near_threshold,1.2115276586e-05,0.025,-46.156367367829006,MB-oracle-per-state,0.35,8.87873993078436e-07,6.380071473310868e-07,-2.498668457473492e-07,1.1358803838216192e-07,-3.311228334416973e-07,-1.6861085805300104e-07,0.0,0.0,-8.147199181962606e-08,1.7246845351870377e-07,No positive gain,False,1,False
6,failure,0.004641588833613,0.025,-20.32328534643597,MB-fixed,0.3,0.0007836002808794658,0.0007936015179725771,1.000123709311131e-05,2.881300806206096e-09,9.99917593468136e-06,1.000329825154126e-05,1.0,0.0,-3.767758549599876e-10,-1.0001595030173505e-05,Security-driven,True,1,False
6,failure,0.004641588833613,0.025,-20.32328534643597,MB-global-opt,0.3,0.0008437810240301855,0.0007936015179725771,-5.017950605760834e-05,4.4107151432148515e-05,-8.17318614380693e-05,-1.8627150677147398e-05,0.2,0.0,-6.154976109762345e-06,4.433227875333401e-05,No positive gain,False,1,False
6,failure,0.004641588833613,0.025,-20.32328534643597,MB-oracle-per-state,0.3,0.0008451107912818886,0.0007936015179725771,-5.15092733093114e-05,4.075651230047123e-05,-8.066472584745222e-05,-2.235382077117058e-05,0.2,0.0,-5.705140716560919e-06,4.608938962857856e-05,No positive gain,False,1,False
7,failure,0.004641588833613,0.03,-20.323335738630295,MB-fixed,0.33,0.0006183535148854654,0.0006290534645675813,1.0699949682115885e-05,2.8913619638046456e-09,1.0697881326367364e-05,1.0702018037864405e-05,1.0,0.0,-1.4169314610512628e-10,-1.070008429060465e-05,Security-driven,True,1,False
7,failure,0.004641588833613,0.03,-20.323335738630295,MB-global-opt,0.33,0.0007001030124941948,0.0006290534645675813,-7.104954792661356e-05,5.10018737031309e-05,-0.00010753409049849336,-3.456500535473376e-05,0.0,0.0,-2.4777993461722047e-05,4.751045413797783e-05,No positive gain,False,1,False
7,failure,0.004641588833613,0.03,-20.323335738630295,MB-oracle-per-state,0.33,0.0006996274438934555,0.0006290534645675813,-7.057397932587421e-05,5.31129637219326e-05,-0.00010856870472186686,-3.257925392988156e-05,0.0,0.0,-2.5636468209366826e-05,4.6219334526975686e-05,No positive gain,False,1,False
8,failure,0.002154434690032,0.01,-23.65641349272952,MB-fixed,0.32,0.000588209530523893,0.0005917668125018325,3.5572819779394315e-06,1.3459047018202909e-09,3.5563191757161824e-06,3.5582447801626806e-06,1.0,0.0,3.621445365808995e-10,-3.556937940629723e-06,Security-driven,True,1,False
8,failure,0.002154434690032,0.01,-23.65641349272952,MB-global-opt,0.32,0.0006123792466159104,0.0005917668125018325,-2.0612434114077993e-05,2.305222620768107e-05,-3.710300333014805e-05,-4.121864898007939e-06,0.2,0.0,-5.294114841802866e-06,1.558302501436515e-05,No positive gain,False,1,False
8,failure,0.002154434690032,0.01,-23.65641349272952,MB-oracle-per-state,0.32,0.0006123792466159104,0.0005917668125018325,-2.0612434114077993e-05,2.305222620768107e-05,-3.710300333014805e-05,-4.121864898007939e-06,0.2,0.0,-5.294114841802866e-06,1.558302501436515e-05,No positive gain,False,1,False
