pass,nu,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,points,ncut,awgn_samples
coarse,0.42,0.018414483737177446,0.013755411554897456,0.017493759550318573,0.0037383479954211187,0.00019752037530149644,7.559576221161101e-07,0.041666666666666664,4.345729945431928,True,48,64,32
coarse,0.43,0.01841749096319526,0.013764153508627955,0.0174966164150355,0.003732462906407544,0.00019635509642206283,7.317199287792949e-07,0.041666666666666664,4.311782619052253,True,48,64,32
coarse,0.44,0.01842047930453853,0.013773851644540178,0.017499455339311604,0.0037256036947714254,0.00019512085843915723,7.041029525911567e-07,0.041666666666666664,4.2786157639079665,True,48,64,32
coarse,0.45,0.018423446331325956,0.013784551867743262,0.017502274014759657,0.0037177221470163966,0.00019381320183284865,6.729289812712476e-07,0.041666666666666664,4.246194299845091,True,48,64,32
coarse,0.46,0.01842638975662843,0.013796298209331578,0.01750507026879701,0.0037087720594654316,0.00019242778133703447,6.380349000556503e-07,0.041666666666666664,4.214485460817902,True,48,64,32
coarse,0.47,0.01842930743327923,0.013809132776054726,0.01750784206161527,0.003698709285560543,0.0001909603656554237,5.992658904130352e-07,0.041666666666666664,4.183458596031768,True,48,64,32
coarse,0.48,0.01843219735423357,0.013823095719794967,0.01751058748652189,0.003687491766726924,0.0001894068401587789,5.564738964203279e-07,0.041666666666666664,4.153084992086723,True,48,64,32
coarse,0.49,0.018435057661824284,0.013838225221529402,0.01751330477873307,0.0036750795572036686,0.0001877632179274613,5.095257891674078e-07,0.041666666666666664,4.123337713544047,True,48,64,32
coarse,0.5,0.018437886637675045,0.01385455748552511,0.017515992305791293,0.003661434820266185,0.00018602563277205777,4.582942691855326e-07,0.041666666666666664,4.094191459658054,True,48,64,32
coarse,0.51,0.018440682703795286,0.013872126740478455,0.01751864856860552,0.0036465218281270663,0.00018419034326384582,4.026603271900507e-07,0.041666666666666664,4.065622435395607,True,48,64,32
coarse,0.52,0.018443444417164334,0.013890965245361764,0.017521272196306115,0.0036303069509443526,0.00018225373117100032,3.4251030243792503e-07,0.041666666666666664,4.037608235064846,True,48,64,32
coarse,0.53,0.01844617047952137,0.013911103298579464,0.0175238619555453,0.0036127586569658344,0.00018021231485483287,2.777480340121475e-07,0.041666666666666664,4.0101277371394985,True,48,64,32
coarse,0.54,0.018448859715889422,0.013932569249584742,0.017526416730094953,0.00359384748051021,0.00017814722276434655,2.0827791270883214e-07,0.041666666666666664,3.983161008987219,True,48,64,32
coarse,0.55,0.018451511084407485,0.013955389512496738,0.01752893553018711,0.0035735460176903717,0.00017705681101618518,1.340181201570085e-07,0.0625,3.9566892204760844,True,48,64,32
coarse,0.56,0.018454123663747074,0.013979588581408417,0.017531417480559718,0.0035518288991513015,0.00017587204508915375,5.489288451010287e-08,0.0625,3.930694565447088,True,48,64,32
coarse,0.57,0.018456696648504557,0.01400518904705598,0.01753386181607933,0.00352867276902335,0.00017459002692300492,-2.9167393622577602e-08,0.0625,3.9051601902545974,True,48,64,32
coarse,0.58,0.018459229345643008,0.014032211614402657,0.017536267878360854,0.0035040562639582005,0.00017320796143222017,-1.1822481945644723e-07,0.0625,3.880070128625752,True,48,64,32
coarse,0.59,0.018461721166090052,0.01406067512058517,0.017538635107785548,0.0034779599872003797,0.00017172315613918078,-2.123371466067341e-07,0.08333333333333333,3.8554092421862114,True,48,64,32
coarse,0.6,0.018464171628042564,0.014090596552608126,0.017540963046640434,0.0034503664940323075,0.0001701330323202965,-3.115497085903767e-07,0.08333333333333333,3.8311631660934418,True,48,64,32
coarse,0.61,0.018466580343735613,0.01412199106407647,0.017543251326548832,0.003421260262472362,0.00016843512064589338,-4.159030130468369e-07,0.08333333333333333,3.807318259238886,True,48,64,32
coarse,0.62,0.018468947007706505,0.014154871990433485,0.01754549965732118,0.003390627666887696,0.0001666270584717355,-5.456870124853653e-07,0.08333333333333333,3.7838615585900848,True,48,64,32
coarse,0.63,0.018471271414125596,0.014189250862238396,0.017547707843419316,0.003358456981180919,0.00016470661494866196,-6.821885115571022e-07,0.10416666666666667,3.760780737288062,True,48,64,32
coarse,0.64,0.01847355342971136,0.014225137416349329,0.017549875758225794,0.003324738341876464,0.00016267167398541503,-8.243780092753747e-07,0.125,3.738064066070019,True,48,64,32
coarse,0.65,0.018475792993008073,0.014262539605106922,0.01755200334335767,0.003289463738250747,0.0001605202423045293,-9.72274660755447e-07,0.14583333333333334,3.715700377771198,True,48,64,32
coarse,0.66,0.018477990114824955,0.014301463603951351,0.0175540906090837,0.003252627005132354,0.00015825045852183576,-1.252629421978348e-06,0.14583333333333334,3.6936790345838215,True,48,64,32
coarse,0.67,0.01848014486974376,0.014341913818261576,0.017556137626256574,0.0032142238079949964,0.00015586059362189254,-1.6999345855273102e-06,0.16666666666666666,3.6719898978066148,True,48,64,32
coarse,0.68,0.018482257391421043,0.014383892890394568,0.01755814452184999,0.003174251631455424,0.00015334905475475883,-2.3386212874876375e-06,0.16666666666666666,3.650623299866705,True,48,64,32
coarse,0.69,0.018484327868669,0.014427401708215978,0.017560111475235552,0.0031327097670195724,0.000150714389355333,-3.0129314566251893e-06,0.16666666666666666,3.629570018399126,True,48,64,32
