stage,point_index,T,epsilon,SNR_dB,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,entropy,outage,noise_seed,ncut,awgn_samples,case_id,case_type,oracle_nu
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,PS,4,0.04494265888018578,0.030731486570853228,0.04269552593617649,0.01196403936532326,0.01196403936532326,6.408923689874859,0,1240004,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,PS,4,4.595219849345966e-05,4.293545989764169e-05,4.365458856878668e-05,7.191286711449849e-07,7.191286711449849e-07,6.408923689874859,0,1240004,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,PS,4,2.1262845605996006e-05,1.934969384520535e-05,2.0199703325696203e-05,8.500094804908522e-07,8.500094804908522e-07,6.408923689874859,0,1240004,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,PS,4,1.7524069469310177e-05,1.6016495482329418e-05,1.6647865995844667e-05,6.31370513515249e-07,6.31370513515249e-07,6.408923689874859,0,1240004,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,PS,4,0.0067376030134109754,0.005581897562515037,0.006400722862740426,0.0008188253002253893,0.0008188253002253893,6.408923689874859,0,1240004,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,PS,4,0.006764499774458699,0.005748056005565605,0.006426274785735764,0.0006782187801701589,0.0006782187801701589,6.408923689874859,0,1240004,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,PS,4,0.003129854623201034,0.002364169989292675,0.0029733618920409818,0.0006091919027483069,0.0006091919027483069,6.408923689874859,0,1240004,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,GS,4,0.1366834336949463,0.13985341625350833,0.12984926201019897,-0.01000415424330936,0.0,8.0,1,1240004,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,GS,4,0.09540282695105873,0.09069432939492561,0.09063268560350579,-6.164379141981868e-05,0.0,8.0,1,1240004,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,GS,4,0.044707002729663436,0.0364373096751085,0.04247165259318026,0.0060343429180717625,0.0060343429180717625,8.0,0,1240004,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,GS,4,4.566062558541972e-05,6.732858782698692e-05,4.3377594306148735e-05,-2.3950993520838183e-05,0.0,8.0,1,1240004,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,GS,4,2.131698576679497e-05,3.0787591599690245e-05,2.0251136478455222e-05,-1.0536455121235023e-05,0.0,8.0,1,1240004,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,GS,4,1.7355426163767618e-05,2.558754243286998e-05,1.6487654855579238e-05,-9.099887577290743e-06,0.0,8.0,1,1240004,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,GS,4,0.00672259261765884,0.0077075817884877385,0.006386462986775898,-0.0013211188017118406,0.0,8.0,1,1240004,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,GS,4,0.006710351197140696,0.00796318104084448,0.006374833637283661,-0.0015883474035608197,0.0,8.0,1,1240004,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,GS,4,0.0031088708500179862,0.003253130175815855,0.0029534273075170867,-0.00029970286829876817,0.0,8.0,1,1240004,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,PS+GS,4,0.13760881072283837,0.10869745793698393,0.13072837018669645,0.022030912249712514,0.022030912249712514,6.408923689874859,0,1240004,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,PS+GS,4,0.0948957559842949,0.07088455234200008,0.09015096818508014,0.01926641584308006,0.01926641584308006,6.408923689874859,0,1240004,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,PS+GS,4,0.044942635669269926,0.030726932319230293,0.04269550388580643,0.011968571566576137,0.011968571566576137,6.408923689874859,0,1240004,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,PS+GS,4,4.595217528091666e-05,4.282157807078413e-05,4.365456651687083e-05,8.329884460867007e-07,8.329884460867007e-07,6.408923689874859,0,1240004,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,PS+GS,4,2.1262859814186186e-05,1.92979431592466e-05,2.0199716823476876e-05,9.017736642302758e-07,9.017736642302758e-07,6.408923689874859,0,1240004,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,PS+GS,4,1.7524070758057064e-05,1.5973224624765692e-05,1.664786722015421e-05,6.746425953885187e-07,6.746425953885187e-07,6.408923689874859,0,1240004,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,PS+GS,4,0.006737602213341631,0.005571895967484863,0.00640072210267455,0.0008288261351896862,0.0008288261351896862,6.408923689874859,0,1240004,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,PS+GS,4,0.00676449502763532,0.005737355921273446,0.0064262702762535534,0.0006889143549801075,0.0006889143549801075,6.408923689874859,0,1240004,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,PS+GS,4,0.003129854715520075,0.0023606130513500467,0.0029733619797440713,0.0006127489283940246,0.0006127489283940246,6.408923689874859,0,1240004,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,MB-oracle-per-state,4,0.13816370035037906,0.10806672300744014,0.1312555153328601,0.023188792325419955,0.023188792325419955,5.830851008351519,0,1240004,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,MB-oracle-per-state,4,0.0950311450579262,0.07045526305671834,0.09027958780502988,0.019824324748311542,0.019824324748311542,5.214483749515269,0,1240004,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,MB-oracle-per-state,4,0.04522848137826596,0.0307432328180286,0.042967057309352664,0.012223824491324066,0.012223824491324066,4.094191459658055,0,1240004,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,MB-oracle-per-state,4,4.598712630432544e-05,4.236824647763093e-05,4.3687769989109165e-05,1.3195235114782323e-06,1.3195235114782323e-06,5.830851008351519,0,1240004,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,MB-oracle-per-state,4,2.1439875951045906e-05,1.9114868743397295e-05,2.036788215349361e-05,1.253013410096316e-06,1.253013410096316e-06,4.528593994753737,0,1240004,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,MB-oracle-per-state,4,1.7844284474044514e-05,1.5800756171246988e-05,1.6952070250342286e-05,1.1513140790952982e-06,1.1513140790952982e-06,4.6087643427564595,0,1240004,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,MB-oracle-per-state,4,0.0067973754379178075,0.005525806577856285,0.0064575066660219164,0.0009317000881656316,0.0009317000881656316,4.831156749170511,0,1240004,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,MB-oracle-per-state,4,0.006717972691190788,0.00569113658674647,0.006382074056631248,0.0006909374698847778,0.0006909374698847778,4.693653238773344,0,1240004,150,512,7,failure,0.33
