SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
very low,-45.3230335360578,1.4677992676220705e-05,0.005,1.8061616084234354e-07,4.1064799924199e-06,4.287096153262244e-06
very low,-43.65636694394163,2.1544346900318823e-05,0.005,5.40661801758565e-07,4.980406600389267e-06,5.521068402147832e-06
very low,-41.989700386700115,3.1622776601683795e-05,0.005,-2.310107517248617e-06,1.3111044271285617e-05,1.0800936754037e-05
very low,-40.3230338806476,4.641588833612782e-05,0.005,-2.576155626006948e-07,1.5497012266182015e-05,1.523939670358132e-05
very low,-38.656367449730254,6.812920690579608e-05,0.005,-1.1478107201442169e-06,2.654640968136057e-05,2.5398598961216352e-05
very low,-36.98970112909626,0.0001,0.005,1.6909865417099159e-06,2.4947176459214997e-05,2.6638163000924913e-05
very low,-35.32303497033604,0.0001467799267622069,0.005,-8.053718416345394e-06,5.458451129536356e-05,4.653079287901817e-05
low,-33.656369049173975,0.00021544346900318823,0.005,1.121901162814963e-05,5.261445647809874e-05,6.383346810624837e-05
low,-31.989703476758176,0.00031622776601683794,0.005,7.3240548644844695e-06,8.975700157887917e-05,9.708105644336364e-05
low,-30.323038416231643,0.00046415888336127773,0.005,-3.1612875592834926e-06,0.00014748546326320464,0.00014432417570392115
low,-28.65637410705521,0.0006812920690579609,0.005,-1.8077486590624425e-06,0.00020797779993582855,0.0002061700512767661
low,-26.989710900708666,0.001,0.005,-1.4946731189742924e-05,0.0003422049691298963,0.0003272582379401534
low,-25.323049313092344,0.0014677992676220691,0.005,-4.66718019191071e-05,0.0005145045887215686,0.0004678327868024615
medium,-23.656390101441303,0.002154434690031882,0.005,-7.81704678119332e-05,0.0007643054528120231,0.0006861349850000899
medium,-21.98973437721792,0.0031622776601683794,0.005,0.00016987717925662053,0.0008086520230961456,0.0009785292023527662
medium,-20.323083771811575,0.004641588833612777,0.005,-0.00016960664516534356,0.001811271719472914,0.0016416650743075703
medium,-18.65644067974346,0.006812920690579608,0.005,6.078057458263784e-05,0.0019748991992099008,0.0020356797737925386
medium,-16.989808615623517,0.01,0.005,-2.3372128674795448e-06,0.003102254176166851,0.0030999169632993716
medium,-15.323192738050277,0.01467799267622069,0.005,-0.00023293274310388912,0.005458270493906361,0.005225337750802472
high,-13.656600618502033,0.021544346900318822,0.005,0.0006119473114501927,0.005327576729375995,0.005939524040826188
high,-11.990043369723715,0.03162277660168379,0.005,-6.710037639274732e-05,0.009781023355140585,0.009713922978747838
high,-10.323537301560863,0.046415888336127774,0.005,0.0008432073490916188,0.01621167403910255,0.01705488138819417
saturation/highest,-8.657106350505137,0.06812920690579609,0.005,-0.005614356115568091,0.03145615223567692,0.025841796120108826
saturation/highest,-6.990785643870536,0.1,0.005,-0.00021224421459276055,0.03469475495898464,0.03448251074439188
very low,-46.98970020622062,1e-05,0.0075,-2.523853426250615e-07,2.9431914225922874e-06,2.690806079967226e-06
very low,-45.32303361573994,1.4677992676220705e-05,0.0075,-5.073225350334569e-07,4.159319335439448e-06,3.651996800405991e-06
very low,-43.65636706089901,2.1544346900318823e-05,0.0075,3.225793935820067e-07,4.608413447323063e-06,4.93099284090507e-06
very low,-41.98970055837006,3.1622776601683795e-05,0.0075,9.16213846569026e-08,7.969617527884645e-06,8.061238912541548e-06
very low,-40.32303413262461,4.641588833612782e-05,0.0075,1.2037266086118017e-07,1.2590786496854038e-05,1.2711159157715218e-05
very low,-38.65636781958192,6.812920690579608e-05,0.0075,-3.127815609671461e-06,2.45435534463508e-05,2.141573783667934e-05
very low,-36.98970167196419,0.0001,0.0075,-4.625831200947657e-06,3.302149874100379e-05,2.8395667540056135e-05
very low,-35.32303576715707,0.0001467799267622069,0.0075,-1.7887579682795824e-06,4.402395105307375e-05,4.223519308479417e-05
low,-33.65637021874706,0.00021544346900318823,0.0075,-7.945894720329258e-06,7.449219684274588e-05,6.654630212241663e-05
low,-31.98970519345615,0.00031622776601683794,0.0075,-6.40720399204634e-06,9.681771740425539e-05,9.041051341220905e-05
low,-30.32304093599851,0.00046415888336127773,0.0075,3.883707737347287e-06,0.0001329558832472877,0.000136839590984635
low,-28.656377805564667,0.0006812920690579609,0.0075,-1.810746332370588e-05,0.0002033559453514577,0.00018524848202775183
low,-26.989716329372722,0.001,0.0075,-2.6538702517934663e-05,0.0003076903366746671,0.00028115163415673244
low,-25.323057281269826,0.0014677992676220691,0.0075,-2.989166411535547e-05,0.0004958530735590085,0.000465961409443653
medium,-23.656401797101275,0.002154434690031882,0.0075,-8.097205096648061e-05,0.000721695203735395,0.0006407231527689144
medium,-21.989751544045003,0.0031622776601683794,0.0075,6.139998004623954e-05,0.0008511904447556042,0.0009125904248018438
medium,-20.32310896915131,0.004641588833612777,0.0075,1.3904842709896136e-05,0.001502125447406088,0.0015160302901159842
medium,-18.65647766412932,0.006812920690579608,0.0075,-0.00021812005490329982,0.0023648825644338786,0.0021467625095305787
medium,-16.989862900737343,0.01,0.0075,-0.00012776961823456707,0.0033593224241540796,0.0032315528059195125
medium,-15.323272416535838,0.01467799267622069,0.0075,0.0003284126218658784,0.004128849531251772,0.0044572621531176505
high,-13.656717568015475,0.021544346900318822,0.0075,-0.0002385940036497402,0.007341345600321409,0.007102751596671669
high,-11.990215022728044,0.03162277660168379,0.0075,-0.0011269611039413565,0.01087724636800346,0.009750285264062103
high,-10.323789242069264,0.046415888336127774,0.0075,-0.001672070059211602,0.016102617877265305,0.014430547818053703
saturation/highest,-8.657476123511987,0.06812920690579609,0.0075,-0.0014463731282407175,0.02445443777048645,0.023008064642245734
saturation/highest,-6.991328342380337,0.1,0.0075,-0.0029795759784303974,0.03764888301871583,0.03466930704028543
very low,-46.98970026050742,1e-05,0.01,1.276692423335388e-07,2.71570614434798e-06,2.843375386681519e-06
very low,-45.32303369542206,1.4677992676220705e-05,0.01,-2.945462261797862e-07,3.871767718358991e-06,3.577221492179205e-06
very low,-43.65636717785638,2.1544346900318823e-05,0.01,-3.519953582239069e-07,5.232619637067039e-06,4.880624278843132e-06
very low,-41.98970073004,3.1622776601683795e-05,0.01,4.973183324412198e-08,7.3209273210010156e-06,7.3706591542451375e-06
very low,-40.32303438460161,4.641588833612782e-05,0.01,-3.8088517929265047e-07,1.1406032662734466e-05,1.1025147483441816e-05
very low,-38.656368189433536,6.812920690579608e-05,0.01,-2.8963507639515934e-06,2.3142086053666105e-05,2.024573528971451e-05
very low,-36.98970221483206,0.0001,0.01,-3.8625539626006325e-06,3.285309713031795e-05,2.8990543167717315e-05
very low,-35.323036563977965,0.0001467799267622069,0.01,1.2081326845603664e-07,3.585637419395066e-05,3.59771874624067e-05
