T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1.2710617996e-05,0.00625,-45.94803354924863,GS,1.834799387356867e-05,2.126588175710431e-05,-3.835287577214076e-06,2.6475812500163676e-07,-4.4929832200148e-06,-3.177591934413353e-06,0.0,8.0,1.0,3
1.2710617996e-05,0.00625,-45.94803354924863,MB-fixed,1.8267977565914844e-05,1.3891405866495177e-05,3.4631728211239227e-06,2.9866530211385506e-07,2.721247080960784e-06,4.205098561287061e-06,3.4631728211239227e-06,6.408923689874861,0.0,3
1.2710617996e-05,0.00625,-45.94803354924863,MB-global-opt,1.8219073894580145e-05,1.3754182327962994e-05,3.5539378718881422e-06,8.310198997574162e-07,1.4895699997113482e-06,5.618305744064936e-06,3.5539378718881422e-06,4.7380473561634675,0.0,3
1.2710617996e-05,0.00625,-45.94803354924863,PS,1.82679775676912e-05,1.3891405866495177e-05,3.463172822811463e-06,2.9866530230686343e-07,2.721247082168865e-06,4.205098563454061e-06,3.463172822811463e-06,6.408923689874858,0.0,3
1.2710617996e-05,0.00625,-45.94803354924863,PS+GS,1.8267976025221344e-05,1.3865698971216034e-05,3.4888782527442417e-06,2.986589887860073e-07,2.746968195756896e-06,4.2307883097315875e-06,3.4888782527442417e-06,6.408923689874858,0.0,3
1.3335214322e-05,0.00625,-45.739700224222304,GS,1.9433401628650888e-05,2.2282416592966925e-05,-3.820685045748582e-06,3.3431080294032085e-07,-4.651159118767875e-06,-2.990210972729289e-06,0.0,8.0,1.0,3
1.3335214322e-05,0.00625,-45.739700224222304,MB-fixed,1.9590293750759713e-05,1.4570679588654656e-05,4.04009947456707e-06,5.844271747977959e-07,2.588301889898154e-06,5.491897059235986e-06,4.04009947456707e-06,6.408923689874861,0.0,3
1.3335214322e-05,0.00625,-45.739700224222304,MB-global-opt,1.9749157048979764e-05,1.4427137394523726e-05,4.334561802007049e-06,5.593553285437902e-07,2.9450461361201434e-06,5.724077467893955e-06,4.334561802007049e-06,4.7380473561634675,0.0,3
1.3335214322e-05,0.00625,-45.739700224222304,PS,1.959029375194395e-05,1.4570679588654656e-05,4.040099475692097e-06,5.844271739096412e-07,2.5883018932294793e-06,5.491897058154714e-06,4.040099475692097e-06,6.408923689874858,0.0,3
1.3335214322e-05,0.00625,-45.739700224222304,PS+GS,1.959031265830191e-05,1.4543789246257433e-05,4.067007779129384e-06,5.844365749778529e-07,2.615186843118692e-06,5.518828715140076e-06,4.067007779129384e-06,6.408923689874858,0.0,3
1.3990503141e-05,0.00625,-45.53136690001757,GS,2.0252994305636207e-05,2.334750464205726e-05,-4.107160051702862e-06,1.0639980115039293e-07,-4.371471810260014e-06,-3.8428482931457105e-06,0.0,8.0,1.0,3
