T,epsilon,SNR_dB,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions
1e-05,0.01375,-46.989700341937635,GS,MB-global-opt,-6.607860618427589e-06,7.94652631669162e-07,-8.581887188474136e-06,-4.633834048381042e-06,0.0,5.047671460071493e-07,7.087389407134381e-06,-1.0,No positive gain,3
1.1547819847e-05,0.00375,-46.36470013735469,GS,MB-global-opt,-6.680598504275417e-06,8.103844751276407e-07,-8.69370513993204e-06,-4.667491868618794e-06,0.0,-4.2694020259877635e-07,6.275005311806581e-06,-1.0,No positive gain,3
1.3990503141e-05,0.00125,-45.53136674811761,GS,MB-global-opt,-6.745764095124803e-06,5.353264153308829e-07,-8.07558863152789e-06,-5.415939558721717e-06,0.0,-3.1517152236186047e-07,6.4463511488810354e-06,-1.0,No positive gain,3
1.0491397291e-05,0.00875,-46.78136690951773,GS,MB-global-opt,-6.751159402451634e-06,7.337825932243639e-07,-8.57397641448364e-06,-4.928342390419628e-06,0.0,-3.871152642886955e-08,6.714383452344208e-06,-1.0,No positive gain,3
1.0491397291e-05,0.01125,-46.78136696647218,GS,MB-global-opt,-6.7584235448799506e-06,3.943810316382928e-07,-7.738120338359492e-06,-5.778726751400408e-06,0.0,3.4310043991088907e-07,7.0843689627952955e-06,-1.0,No positive gain,3
1e-05,0.0125,-46.98970031479423,GS,MB-global-opt,-6.8097686824142306e-06,3.214785328123056e-07,-7.608365629281548e-06,-6.011171735546913e-06,0.0,1.3213196581318698e-07,6.935294049936758e-06,-1.0,No positive gain,3
1.0491397291e-05,0.01375,-46.781367023426625,GS,MB-global-opt,-6.824592620876165e-06,2.0952058564898176e-07,-7.3450706090683655e-06,-6.304114632683964e-06,0.0,6.176269392218122e-07,7.4113382131368866e-06,-1.0,No positive gain,3
1.1547819847e-05,0.0075,-46.36470023138883,GS,MB-global-opt,-6.840218048050535e-06,6.083518942234695e-07,-8.351447930487076e-06,-5.328988165613995e-06,0.0,2.908939607711621e-07,7.1165673107831395e-06,-1.0,No positive gain,3
1e-05,0.01125,-46.98970028765083,GS,MB-global-opt,-6.8568642531611575e-06,4.156287566107199e-07,-7.889343321532951e-06,-5.824385184789364e-06,0.0,-8.664093827566906e-08,6.774555361799273e-06,-1.0,No positive gain,3
1.2710617996e-05,0.0075,-45.94803358374957,GS,MB-global-opt,-6.9080013772667315e-06,1.2281695152036197e-07,-7.213095598176894e-06,-6.602907156356569e-06,0.0,9.204668754610642e-07,7.782444908954744e-06,-1.0,No positive gain,3
1.2710617996e-05,0.005,-45.94803351474768,GS,MB-global-opt,-6.927748556403065e-06,4.925413458157342e-07,-8.151289088125028e-06,-5.7042080246811016e-06,0.0,2.9663141039767044e-07,7.2095483962808515e-06,-1.0,No positive gain,3
1.1006941713e-05,0.01,-46.57303361551765,GS,MB-global-opt,-7.032426968371178e-06,2.80793400525819e-07,-7.729956443819335e-06,-6.334897492923019e-06,0.0,1.990996697879647e-07,7.221571654669745e-06,-1.0,No positive gain,3
0.001467799267622,0.005,-25.32304931309255,PS+GS,MB-global-opt,-7.081259387857041e-06,3.5603777017080836e-05,-9.552594455564119e-05,8.13634257799271e-05,0.6666666666666666,1.3431306472947806e-06,8.357233502787054e-06,0.0,No positive gain,3
0.001,0.005,-26.989710900708666,PS+GS,MB-global-opt,-7.08795781945904e-06,2.3340310325983237e-05,-6.506850290347113e-05,5.089258726455304e-05,0.3333333333333333,-1.2732898785709306e-06,5.878332434816613e-06,0.0,No positive gain,3
1.1547819847e-05,0.00625,-46.36470020004411,GS,MB-global-opt,-7.106235194524283e-06,5.914780599115632e-07,-8.57554814880531e-06,-5.6369222402432556e-06,0.0,-2.499843810473597e-07,6.868750032529292e-06,-1.0,No positive gain,3
1.4677992676e-05,0.0025,-45.32303345644096,GS,MB-global-opt,-7.126075817491065e-06,1.1326041784092367e-07,-7.407430292694817e-06,-6.844721342287313e-06,0.0,2.6030231718247404e-07,7.373363018814416e-06,-1.0,No positive gain,3
1.0491397291e-05,0.0125,-46.781366994949394,GS,MB-global-opt,-7.135736252298722e-06,6.092255321724654e-07,-8.649136371710753e-06,-5.622336132886692e-06,0.0,1.2277445519496646e-07,7.252371984733941e-06,-1.0,No positive gain,3
1.3335214322e-05,0.00375,-45.73970015182968,GS,MB-global-opt,-7.210002096721032e-06,6.619335630304939e-07,-8.854336223297969e-06,-5.565667970144095e-06,0.0,-3.4561218479704316e-08,7.177168939165313e-06,-1.0,No positive gain,3
1.1006941713e-05,0.01125,-46.57303364539424,GS,MB-global-opt,-7.228262686768498e-06,5.294611471715003e-07,-8.543517089347514e-06,-5.913008284189482e-06,0.0,1.8948385231235912e-07,7.408272346465239e-06,-1.0,No positive gain,3
