sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
visibility,34.75,PS+GS-Uniform,PS+GS,Uniform QAM,0.057803734344339844,0.05513305251483519,0.0604744161738445,0.0004918901763621252,0.05731184416797773
visibility,36.5,PS+GS-Uniform,PS+GS,Uniform QAM,0.05990385089048454,0.05656189123736073,0.06324581054360835,0.00045289684444412335,0.059450954046040394
visibility,38.25,PS+GS-Uniform,PS+GS,Uniform QAM,0.061064347244996056,0.0583518304566069,0.06377686403338521,0.0006277630746881802,0.06043658417030788
visibility,40.0,PS+GS-Uniform,PS+GS,Uniform QAM,0.06367244978427522,0.06106854674868381,0.06627635281986663,0.0009562696889540161,0.06271618009532123
visibility,5.0,PS+GS-PS,PS+GS,PS,1.445998954159979e-06,1.3426274463824476e-06,1.5493704619375103e-06,7.771756205601776e-11,1.4459212365600452e-06
visibility,6.75,PS+GS-PS,PS+GS,PS,1.4623541616159627e-05,1.3866284854573005e-05,1.5380798377746247e-05,-1.7470262302782258e-09,1.4625288642379497e-05
visibility,8.5,PS+GS-PS,PS+GS,PS,2.5439696631339438e-05,2.451471645075885e-05,2.6364676811920026e-05,-1.7146799086154017e-09,2.544141131124028e-05
visibility,10.25,PS+GS-PS,PS+GS,PS,3.839685851173974e-05,3.738972148378833e-05,3.940399553969115e-05,8.798911288326883e-09,3.838805960043879e-05
visibility,12.0,PS+GS-PS,PS+GS,PS,4.9075433546917625e-05,4.645690395200598e-05,5.169396314182927e-05,3.224477753430155e-08,4.904318876942093e-05
visibility,13.75,PS+GS-PS,PS+GS,PS,6.299598114650057e-05,5.8909371465560244e-05,6.708259082744089e-05,1.017722426083223e-08,6.298580392223863e-05
visibility,15.5,PS+GS-PS,PS+GS,PS,7.119542891065589e-05,6.607920091474116e-05,7.631165690657062e-05,8.601143147740631e-08,7.110941747920096e-05
visibility,17.25,PS+GS-PS,PS+GS,PS,8.184077243844067e-05,7.856559630961055e-05,8.511594856727079e-05,5.0953367207173804e-08,8.178981907119853e-05
visibility,19.0,PS+GS-PS,PS+GS,PS,9.245575342478051e-05,8.907442506368594e-05,9.583708178587508e-05,3.843332945535626e-08,9.241732009536152e-05
visibility,20.75,PS+GS-PS,PS+GS,PS,0.00010161446660269801,9.706115712870096e-05,0.00010616777607669507,5.7051016578435475e-08,0.0001015574155861565
visibility,22.5,PS+GS-PS,PS+GS,PS,0.00010738838259568007,0.00010447973341307945,0.00011029703177828068,2.5810335824716367e-08,0.00010736257225987255
visibility,24.25,PS+GS-PS,PS+GS,PS,0.0001151074115197187,0.0001092527719072885,0.0001209620511321489,1.4241809973392082e-07,0.00011496499342004141
visibility,26.0,PS+GS-PS,PS+GS,PS,0.0001285488938888413,0.0001224513963479487,0.00013464639142973388,1.3695394525115033e-07,0.00012841193994356237
visibility,27.75,PS+GS-PS,PS+GS,PS,0.0001319725126309623,0.00012658390772614324,0.0001373611175357814,2.0585890973479068e-07,0.0001317666537212603
visibility,29.5,PS+GS-PS,PS+GS,PS,0.00013891982335750285,0.00013536729805774454,0.00014247234865726117,1.8675946406310205e-07,0.0001387330638934592
visibility,31.25,PS+GS-PS,PS+GS,PS,0.00014394703575925928,0.0001351456762354846,0.00015274839528303395,2.655218346198085e-07,0.0001436815139246872
visibility,33.0,PS+GS-PS,PS+GS,PS,0.00015235822704287027,0.00014373757807133427,0.00016097887601440627,1.9187551981492134e-07,0.00015216635152311419
visibility,34.75,PS+GS-PS,PS+GS,PS,0.00015346341015587961,0.00014607579097272947,0.00016085102933902976,2.7384259349061414e-07,0.0001531895675624395
visibility,36.5,PS+GS-PS,PS+GS,PS,0.00015959752399558047,0.0001505723193549554,0.00016862272863620554,2.2268589386587043e-07,0.00015937483810170018
visibility,38.25,PS+GS-PS,PS+GS,PS,0.00016253815358331923,0.00015517158989953794,0.00016990471726710052,3.3410556121549197e-07,0.00016220404802211875
visibility,40.0,PS+GS-PS,PS+GS,PS,0.00016911334394197896,0.00016261412315662018,0.00017561256472733774,3.5808132943571104e-07,0.00016875526261252993
visibility,5.0,PS+GS-GS,PS+GS,GS,0.00060221048083506,0.0005597207731752834,0.0006447001884948365,2.3377837171299503e-07,0.00060197670246336
visibility,6.75,PS+GS-GS,PS+GS,GS,0.005707933044460761,0.005432597855130729,0.005983268233790792,4.0815894454530175e-06,0.00570385145501528
visibility,8.5,PS+GS-GS,PS+GS,GS,0.00973338784040204,0.009353146896154917,0.010113628784649161,2.5916229065029024e-05,0.009707471611337021
visibility,10.25,PS+GS-GS,PS+GS,GS,0.014422468745034542,0.014106803801847536,0.014738133688221548,3.29842713101422e-05,0.01438948447372436
visibility,12.0,PS+GS-GS,PS+GS,GS,0.018154377562879777,0.017197985431987684,0.01911076969377187,-1.1950854547070067e-06,0.0181555726483345
visibility,13.75,PS+GS-GS,PS+GS,GS,0.023071449356451043,0.021477847254830984,0.024665051458071102,1.7010044777246155e-05,0.023054439311673818
visibility,15.5,PS+GS-GS,PS+GS,GS,0.025799158265245654,0.023993240627757782,0.027605075902733527,-2.3260953168923182e-05,0.02582241921841454
visibility,17.25,PS+GS-GS,PS+GS,GS,0.0295750579944905,0.028175408750920054,0.030974707238060943,0.00010299673550926313,0.02947206125898122
visibility,19.0,PS+GS-GS,PS+GS,GS,0.03329662224359507,0.03225169345952003,0.034341551027670114,0.00018719183565760577,0.033109430407937485
visibility,20.75,PS+GS-GS,PS+GS,GS,0.03619888457744865,0.03486352465560418,0.03753424449929312,9.1218366662002e-06,0.036189762740782457
visibility,22.5,PS+GS-GS,PS+GS,GS,0.03834369257289658,0.03733458058415484,0.039352804561638324,0.00023474896978005862,0.03810894360311658
visibility,24.25,PS+GS-GS,PS+GS,GS,0.04076402816629206,0.038497187748508147,0.04303086858407597,0.00011026328409229846,0.04065376488219978
visibility,26.0,PS+GS-GS,PS+GS,GS,0.04530001405846778,0.04312475980494769,0.04747526831198787,0.00013074430461595344,0.045169269753851785
visibility,27.75,PS+GS-GS,PS+GS,GS,0.04665219168745559,0.04494785475593179,0.048356528618979384,0.0003732088192955124,0.04627898286816004
visibility,29.5,PS+GS-GS,PS+GS,GS,0.048858232491377704,0.04757155598174258,0.05014490900101283,0.000285186980464972,0.04857304551091275
visibility,31.25,PS+GS-GS,PS+GS,GS,0.05061100283799892,0.0476863735332979,0.05353563214269994,0.00039032661965824,0.0502206762183407
visibility,33.0,PS+GS-GS,PS+GS,GS,0.05322871314966009,0.05027524757615927,0.056182178723160905,0.0002241099294456433,0.0530046032202145
visibility,34.75,PS+GS-GS,PS+GS,GS,0.05378390850968586,0.05129314284955367,0.05627467416981805,0.0004622876514335583,0.053321620858252275
visibility,36.5,PS+GS-GS,PS+GS,GS,0.05573978602904885,0.05262710579157323,0.058852466266524475,0.0004199895954000665,0.055319796433648746
visibility,38.25,PS+GS-GS,PS+GS,GS,0.05683300865174702,0.0542935564829834,0.05937246082051064,0.0005927429006467855,0.05624026575110026
visibility,40.0,PS+GS-GS,PS+GS,GS,0.05928675716805644,0.05683789585473104,0.061735618481381836,0.0009177003237401498,0.05836905684431628
beam_waist,0.03,PS-Uniform,PS,Uniform QAM,0.009574430644445301,0.00928182351555251,0.009867037773338092,2.806701835043168e-05,0.00954636362609482
beam_waist,0.0344999999999999,PS-Uniform,PS,Uniform QAM,0.010578741868716181,0.010033177919034108,0.011124305818398255,-1.2143937307279167e-05,0.010590885806023518
beam_waist,0.039,PS-Uniform,PS,Uniform QAM,0.011607458512941139,0.0112060131774649,0.012008903848417378,-4.982891596132521e-06,0.01161244140453726
beam_waist,0.0435,PS-Uniform,PS,Uniform QAM,0.012642318822976058,0.012353864878440327,0.01293077276751179,3.478482336757432e-05,0.012607533999608438
beam_waist,0.048,PS-Uniform,PS,Uniform QAM,0.013309661442645459,0.012784483434143889,0.01383483945114703,2.5840212994374112e-06,0.013307077421345997
beam_waist,0.0525,PS-Uniform,PS,Uniform QAM,0.0137351393766313,0.013114982666311926,0.014355296086950672,1.9060492588153507e-06,0.013733233327372562
beam_waist,0.0569999999999999,PS-Uniform,PS,Uniform QAM,0.014131383254423941,0.013690557944106266,0.014572208564741616,2.566964768207086e-06,0.014128816289655715
beam_waist,0.0615,PS-Uniform,PS,Uniform QAM,0.014680370646319779,0.013815706952951637,0.015545034339687921,-1.0783258672414224e-05,0.014691153904992158
beam_waist,0.066,PS-Uniform,PS,Uniform QAM,0.0150105787022746,0.014400857877885956,0.015620299526663243,-3.4479287370964976e-05,0.015045057989645547
beam_waist,0.0705,PS-Uniform,PS,Uniform QAM,0.015202915145064898,0.014976671120308187,0.01542915916982161,1.932688182159914e-05,0.01518358826324336
beam_waist,0.075,PS-Uniform,PS,Uniform QAM,0.01538982398840276,0.014861006851489673,0.015918641125315845,6.786269321336496e-06,0.01538303771908144
beam_waist,0.0794999999999999,PS-Uniform,PS,Uniform QAM,0.01579270794859266,0.015635796554515104,0.015949619342670213,6.519330896825645e-05,0.01572751463962442
beam_waist,0.0839999999999999,PS-Uniform,PS,Uniform QAM,0.01545488088171064,0.014787368528233358,0.01612239323518792,-3.654745180908761e-05,0.015491428333519741
