sweep,parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,mean_T,std_repetition_mean_T,mean_eta_atm,mean_eta_geo,mean_sigma2_turb_m2,mean_sigma2_UAV_m2,link_distance_km
visibility,visibility,34.75,km,Uniform QAM,0.3509225457314404,0.01202922565289767,0.25724706741236314,0.007820868437916705,0.0761293510325052,0.0036510062915381175,0.07612940953491618,0.0036509855563414567,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,34.75,km,Maxwell-Boltzmann QAM,0.3514400366090909,0.01204481082089292,0.2000884128119258,0.005724668062957538,0.13377962196671045,0.00579470480395492,0.13377962196671045,0.00579470480395492,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,34.75,km,Binomial QAM,0.35146945090519904,0.012017998269475734,0.20093274074386686,0.005756760423494056,0.13296323761607218,0.005737942878594869,0.13296323761607218,0.005737942878594869,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,34.75,km,GS,0.3509537062839968,0.012031289327895331,0.25325684410263766,0.007678099868056356,0.08014917686715918,0.003796224889597997,0.08014919498521214,0.0037962171722711155,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,34.75,km,PS,0.35144003660909157,0.012044810820892931,0.20008841281194784,0.005724668062958346,0.13377962196668916,0.005794704803954153,0.13377962196668916,0.005794704803954153,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,34.75,km,PS+GS,0.35144032486445315,0.012044824383516122,0.19993522324438537,0.005718836407990251,0.13393308537684506,0.0058006431686083324,0.13393308537684506,0.0058006431686083324,0.2864012776553145,0.010624864010738571,0.556836820560486,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,Uniform QAM,0.3607018854051597,0.015961730343219634,0.26233259126913766,0.010995984478055415,0.08033419986576398,0.004230367369659242,0.08033427858720704,0.004230297852974696,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,Maxwell-Boltzmann QAM,0.3611783845194224,0.015977071573630236,0.20304101206117617,0.008355110863549524,0.14007845323227502,0.006907614318107704,0.14007845323227502,0.006907614318107704,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,Binomial QAM,0.3611979588200897,0.01595479178149421,0.20391932867065798,0.008394927905705998,0.13921873220842718,0.006850019800948513,0.13921873220842718,0.006850019800948513,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,GS,0.36073652461467975,0.015963878829996773,0.258201433656746,0.010814136850664433,0.08449826472719965,0.004414478010699165,0.08449828614444385,0.004414460711786754,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,PS,0.3611783845194231,0.015977071573630243,0.20304101206119896,0.00835511086355049,0.14007845323225293,0.006907614318106723,0.14007845323225293,0.006907614318106723,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,36.5,km,PS+GS,0.3611786189256272,0.015977014412703768,0.20288163722309727,0.008347880074843226,0.14023805075624854,0.00691486837535435,0.14023805075624854,0.00691486837535435,0.2962609837111224,0.013499510952585484,0.5726893027101362,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,38.25,km,Uniform QAM,0.3649267618028697,0.011148789795993467,0.2645389527867567,0.007153083526674846,0.08214147092596949,0.0037312829106087276,0.0821415450795091,0.003731279818774582,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,38.25,km,Maxwell-Boltzmann QAM,0.36558721334931843,0.011274239072505583,0.20426457266444772,0.0052626948507974985,0.1430432800174047,0.005892495979466718,0.1430432800174047,0.005892495979466718,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,38.25,km,Binomial QAM,0.36562515796526396,0.011287933391433618,0.20515844217051032,0.005290774414914733,0.14218545789649037,0.005868874987425398,0.14218545789649037,0.005868874987425398,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,38.25,km,GS,0.36496362514396596,0.01115123854020649,0.2603426343675491,0.007022009843899127,0.08637280951921852,0.0038694683455473026,0.08637282568849795,0.0038694772117870073,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
visibility,visibility,38.25,km,PS,0.36558721334931915,0.011274239072505588,0.20426457266447096,0.005262694850798179,0.14304328001738223,0.005892495979465966,0.14304328001738223,0.005892495979465966,0.3005458719626665,0.010147539232625307,0.5874821411515038,0.9380283687266078,0.030687641978789804,0.010177636208000001,20.0
