parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
link_distance,44.0,km,4,306026,0.00037510156677741577,2.7103560177840076e-05,8.384484041773087e-07
link_distance,48.0,km,0,302026,0.0001721147683381833,1.1458593532121834e-05,3.838170758098023e-07
link_distance,48.0,km,1,303026,0.00021252739413154636,1.4414190365620045e-05,4.7502819057113196e-07
link_distance,48.0,km,2,304026,0.00021523934194731494,1.527628589098675e-05,4.799415385213902e-07
link_distance,48.0,km,3,305026,0.0002137277296908586,1.4544215151024087e-05,4.783567846144575e-07
link_distance,48.0,km,4,306026,0.00018913524446885434,1.2806889631981373e-05,4.2209151879504174e-07
link_distance,52.0,km,0,302026,9.094002949909477e-05,5.481521471330236e-06,2.0485546992771164e-07
link_distance,52.0,km,1,303026,9.804618564697719e-05,5.761601610006733e-06,2.1905942746841816e-07
link_distance,52.0,km,2,304026,0.00011721919748992805,7.1370764686764714e-06,2.645805643361986e-07
link_distance,52.0,km,3,305026,9.839103333552974e-05,5.719086779555104e-06,2.2082357190138506e-07
link_distance,52.0,km,4,306026,0.00011446227139480045,6.833468869338331e-06,2.5577643838204365e-07
link_distance,56.0,km,0,302026,6.319794171058615e-05,3.234350607609479e-06,1.4212325290962778e-07
link_distance,56.0,km,1,303026,5.433497021881463e-05,2.3262978848990984e-06,1.257183525683574e-07
link_distance,56.0,km,2,304026,5.488571084292341e-05,2.4295732485598735e-06,1.2401717513453863e-07
link_distance,56.0,km,3,305026,6.022454933363869e-05,2.9486204832947864e-06,1.360897511862194e-07
link_distance,56.0,km,4,306026,4.983036425689722e-05,2.1723507418970944e-06,1.1313519680152526e-07
link_distance,60.0,km,0,302026,3.409263818770716e-05,7.641363809844266e-07,7.953361344167909e-08
link_distance,60.0,km,1,303026,3.16921975433362e-05,5.361275032372446e-07,7.54984171656009e-08
link_distance,60.0,km,2,304026,3.233646413912157e-05,8.006343445925807e-07,7.581524399044039e-08
link_distance,60.0,km,3,305026,3.432261281208215e-05,6.692763952879208e-07,8.02942259885836e-08
link_distance,60.0,km,4,306026,3.0117991492618198e-05,4.967943225186986e-07,7.11919858559576e-08
link_distance,64.0,km,0,302026,1.4953030887545137e-05,1.1923711793274053e-07,3.599008181303058e-08
link_distance,64.0,km,1,303026,2.0320578240894286e-05,8.352898002543451e-08,4.9590042561741666e-08
link_distance,64.0,km,2,304026,1.7994004069605232e-05,1.7078354285302595e-07,4.351439829263423e-08
link_distance,64.0,km,3,305026,1.395743026391515e-05,2.984776807275735e-08,3.433179300276753e-08
link_distance,64.0,km,4,306026,1.4851323931359786e-05,1.3650712479152486e-07,3.5994492824512124e-08
link_distance,68.0,km,0,302026,1.119373571255959e-05,5.510400442713863e-09,2.8046481278035107e-08
link_distance,68.0,km,1,303026,8.370216214636723e-06,0.0,2.097554978007713e-08
link_distance,68.0,km,2,304026,1.0005117348248909e-05,2.413651280057298e-09,2.531095412931157e-08
link_distance,68.0,km,3,305026,9.978767223836093e-06,1.4405764454938823e-08,2.5303847261438916e-08
link_distance,68.0,km,4,306026,1.0523615942812332e-05,1.8027548385340757e-08,2.6388274620460844e-08
link_distance,72.0,km,0,302026,6.987659765369211e-06,0.0,1.8197399767085404e-08
link_distance,72.0,km,1,303026,6.19744778680379e-06,0.0,1.6159648673700467e-08
link_distance,72.0,km,2,304026,4.885483530988471e-06,4.8572257327350596e-18,1.2559116076455759e-08
link_distance,72.0,km,3,305026,7.2248159449278866e-06,0.0,1.855028230538077e-08
link_distance,72.0,km,4,306026,5.737628351363058e-06,0.0,1.500498325816107e-08
link_distance,76.0,km,0,302026,3.4159168038729376e-06,6.591949208711865e-18,9.175190432593545e-09
link_distance,76.0,km,1,303026,3.1987156501859023e-06,-9.540979117872439e-18,8.633252665361886e-09
link_distance,76.0,km,2,304026,3.250226015123411e-06,5.898059818321142e-18,8.60242494789987e-09
link_distance,76.0,km,3,305026,2.9484488349934895e-06,0.0,7.965541576164525e-09
link_distance,76.0,km,4,306026,2.9113021852969835e-06,-6.071532165918825e-18,7.821522824726006e-09
link_distance,80.0,km,0,302026,1.7619951279418047e-06,0.0,4.918898876410478e-09
link_distance,80.0,km,1,303026,2.2659196790503554e-06,0.0,6.279161100970934e-09
link_distance,80.0,km,2,304026,1.9250978187043684e-06,-6.59194920871187e-18,5.298787875834736e-09
link_distance,80.0,km,3,305026,1.9103039499288732e-06,2.9490299091605724e-18,5.301659214591943e-09
link_distance,80.0,km,4,306026,2.3853424887636254e-06,0.0,6.527767921169816e-09
link_distance,84.0,km,0,302026,1.0508637224097489e-06,2.949029909160571e-18,3.023506858247818e-09
link_distance,84.0,km,1,303026,1.2581827257792872e-06,3.122502256758251e-18,3.512254698884165e-09
link_distance,84.0,km,2,304026,8.267968701984248e-07,-2.2551405187698492e-17,2.3681506356593163e-09
