run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224539,2026-05-01 22:45:39,36.8421052632,2.6000000000,0.9500000000,0.0000000506,0.0000000753,0.0181933236,0.0000000300,100000000,100000000,-0.0000000273,0.0000000000
20260501_224539,2026-05-01 22:45:39,36.8421052632,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,2.6000000000,0.9500000000,0.0000000144,0.0000000215,0.0181933236,0.0000000300,100000000,100000000,-0.0000000078,0.0000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,2.6000000000,0.9500000000,0.0000000250,0.0000000372,0.0181933236,0.0000000300,100000000,100000000,-0.0000000135,0.0000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,2.6000000000,0.9500000000,0.0000000157,0.0000000234,0.0181933236,0.0000000300,100000000,100000000,-0.0000000085,0.0000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,2.6000000000,0.9500000000,0.0000000210,0.0000000312,0.0181933236,0.0000000300,100000000,100000000,-0.0000000113,0.0000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,2.6000000000,0.9500000000,0.0000000036,0.0000000054,0.0181933236,0.0000000300,100000000,100000000,-0.0000000020,0.0000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,2.6000000000,0.9500000000,0.0000000071,0.0000000106,0.0181933236,0.0000000300,100000000,100000000,-0.0000000038,0.0000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,2.6000000000,0.9500000000,0.0000000131,0.0000000195,0.0181933236,0.0000000300,100000000,100000000,-0.0000000071,0.0000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,2.6000000000,0.9500000000,0.0000000097,0.0000000145,0.0181933236,0.0000000300,100000000,100000000,-0.0000000053,0.0000000000
20260501_224540,2026-05-01 22:45:40,48.4210526316,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,2.6000000000,0.9500000000,0.0000000064,0.0000000095,0.0181933236,0.0000000300,100000000,100000000,-0.0000000034,0.0000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
