run_id,timestamp,distance_km,T_eff,eta_atm,eta_geo,chi_line,chi_hom,chi_tot,X_tot,epsilon_bg,epsilon_RIN_s,epsilon_mod,epsilon_ch,epsilon_det,eta_det,V_ele
20260501_224538,2026-05-01 22:45:38,31.0526315789,0.0000001801,0.0424719199,0.0117413166,5552816.5078985821,1.0260000000,11250007.2701817267,11250007.2701817267,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,31.0526315789,0.0000000000,0.0424719199,0.0117413166,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000001254,0.0316382961,0.0098341682,7975409.2541089579,1.0260000000,16158180.1740039494,16158180.1740039494,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000000,0.0316382961,0.0098341682,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000986,0.0316382961,0.0098341682,10143365.3194538299,1.0260000000,20550459.1623926610,20550459.1623926610,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000000,0.0316382961,0.0098341682,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224538,2026-05-01 22:45:38,36.8421052632,0.0000001022,0.0235680841,0.0083560035,9789257.0319581423,1.0260000000,19833035.7719263956,19833035.7719263956,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000000000,0.0235680841,0.0083560035,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000001086,0.0235680841,0.0083560035,9204658.1002348661,1.0260000000,18648638.3362550363,18648638.3362550363,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000000000,0.0235680841,0.0083560035,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000310,0.0175564003,0.0071873274,32279965.9083605893,1.0260000000,65399211.9555177540,65399211.9555177540,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000000,0.0175564003,0.0071873274,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000536,0.0175564003,0.0071873274,18662847.7908660620,1.0260000000,37810930.6494738460,37810930.6494738460,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000000,0.0175564003,0.0071873274,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000337,0.0130781606,0.0062474895,29648523.3941065967,1.0260000000,60067909.4216391742,60067909.4216391742,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000000,0.0130781606,0.0062474895,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000450,0.0130781606,0.0062474895,22215437.9764309563,1.0260000000,45008478.3654283136,45008478.3654283136,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000000,0.0130781606,0.0062474895,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000078,0.0097422184,0.0054804734,128035397.3096899837,1.0260000000,259399715.9746111035,259399715.9746111035,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000000,0.0097422184,0.0054804734,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000152,0.0097422184,0.0054804734,65771766.9522218108,1.0260000000,133253600.8703805953,133253600.8703805953,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000000,0.0097422184,0.0054804734,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000281,0.0072571994,0.0048463969,35572296.2520059720,1.0260000000,72069473.2317433059,72069473.2317433059,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000000,0.0072571994,0.0048463969,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000209,0.0072571994,0.0048463969,47851160.6109669730,1.0260000000,96946452.4229982942,96946452.4229982942,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,48.4210526316,0.0000000000,0.0072571994,0.0048463969,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000137,0.0054060524,0.0043162445,73215618.2414826602,1.0260000000,148334843.5824230909,148334843.5824230909,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000000,0.0054060524,0.0043162445,999999999999998.8750000000,1.0260000000,2025999999999999.0000000000,2025999999999999.0000000000,0.0002000000,0.0001000000,0.0005000000,0.0008000000,0.0130000000,0.5000000000,0.1000000000
