run_id,timestamp,distance_km,visibility_km,lambda_nm,xi_km_inv,loss_db_per_km,L_link_km,eta_atm,loss_total_db,eta_sys,eta_geo,T0
20260506_001218,2026-05-06 00:12:18,5.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,5.0000000000,0.6302743993,2.0047052698,1.0000000000,0.9999995530,0.9999997765
20260506_001218,2026-05-06 00:12:18,5.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,5.0000000000,0.6302743993,2.2569949508,1.0000000000,0.9999995530,0.9999997765
20260506_001218,2026-05-06 00:12:18,5.0000000000,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,5.0000000000,0.6302743993,2.0047052698,1.0000000000,0.9999995530,0.9999997765
20260506_001218,2026-05-06 00:12:18,7.8947368421,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,7.8947368421,0.4824673132,3.5626124248,1.0000000000,0.9999653116,0.9999826556
20260506_001218,2026-05-06 00:12:18,7.8947368421,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,7.8947368421,0.4824673132,3.1654716976,1.0000000000,0.9999653116,0.9999826556
20260506_001218,2026-05-06 00:12:18,7.8947368421,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,7.8947368421,0.4824673132,3.5630473570,1.0000000000,0.9999653116,0.9999826556
20260506_001219,2026-05-06 00:12:19,7.8947368421,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,7.8947368421,0.4824673132,3.1654716976,1.0000000000,0.9999653116,0.9999826556
20260506_001219,2026-05-06 00:12:19,10.7894736842,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,10.7894736842,0.3693228037,5.0061578035,1.0000000000,0.9992344061,0.9996171297
20260506_001219,2026-05-06 00:12:19,10.7894736842,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,10.7894736842,0.3693228037,4.3292649670,1.0000000000,0.9992344061,0.9996171297
20260506_001219,2026-05-06 00:12:19,10.7894736842,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,10.7894736842,0.3693228037,5.0090198045,1.0000000000,0.9992344061,0.9996171297
20260506_001219,2026-05-06 00:12:19,10.7894736842,10.0000000000,1550.0000000000,0.0923200000,0.4009406657,10.7894736842,0.3693228037,4.3292649670,1.0000000000,0.9992344061,0.9996171297
