run_id,timestamp,distance_km,T_eff,chi_tot,eta_atm,loss_total_db,SKR,status
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000450,45008478.3654283136,0.0130781606,73.4665489929,-0.0000000113,outage
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000000,2025999999999999.0000000000,0.0130781606,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000078,259399715.9746111035,0.0097422184,81.0733005687,-0.0000000020,outage
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000000,2025999999999999.0000000000,0.0097422184,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000152,133253600.8703805953,0.0097422184,78.1803951589,-0.0000000038,outage
20260501_224539,2026-05-01 22:45:39,45.5263157895,0.0000000000,2025999999999999.0000000000,0.0097422184,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000281,72069473.2317433059,0.0072571994,75.5111191273,-0.0000000071,outage
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000000,2025999999999999.0000000000,0.0072571994,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,48.4210526316,0.0000000209,96946452.4229982942,0.0072571994,76.7989248495,-0.0000000053,outage
20260501_224540,2026-05-01 22:45:40,48.4210526316,0.0000000000,2025999999999999.0000000000,0.0072571994,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000137,148334843.5824230909,0.0054060524,78.6460373989,-0.0000000034,outage
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000000,2025999999999999.0000000000,0.0054060524,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000134,151370950.3668208718,0.0054060524,78.7340309945,-0.0000000034,outage
20260501_224540,2026-05-01 22:45:40,51.3157894737,0.0000000000,2025999999999999.0000000000,0.0054060524,1270.2367404024,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000123,164475141.2385983467,0.0040270910,79.0946082962,-0.0000000031,outage
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000000,2025999999999999.0000000000,0.0040270910,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000065,310258428.8240772486,0.0040270910,81.8508414923,-0.0000000016,outage
20260501_224540,2026-05-01 22:45:40,54.2105263158,0.0000000000,2025999999999999.0000000000,0.0040270910,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000058,347531238.2307949066,0.0029998714,82.3435440795,-0.0000000015,outage
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000000,2025999999999999.0000000000,0.0029998714,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000090,225837871.9203720093,0.0029998714,80.4715733368,-0.0000000023,outage
20260501_224540,2026-05-01 22:45:40,57.1052631579,0.0000000000,2025999999999999.0000000000,0.0029998714,inf,0.0000000000,ok
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000028,725929050.1451027393,0.0022346722,85.5425473587,-0.0000000007,outage
20260501_224540,2026-05-01 22:45:40,60.0000000000,0.0000000000,2025999999999999.0000000000,0.0022346722,inf,0.0000000000,ok
